date_utc,hours,usable_hours,source_interpolation_hours,negative_load_hours,missing_endpoint_hours,strict_usable_day
2016-01-01,24,24,0,0,0,True
2016-01-02,24,24,0,0,0,True
2016-01-03,24,24,0,0,0,True
2016-01-04,24,24,0,0,0,True
2016-01-05,24,24,0,0,0,True
2016-01-06,24,21,3,0,0,False
2016-01-07,24,24,0,0,0,True
2016-01-08,24,24,0,0,0,True
2016-01-09,24,22,2,0,0,False
2016-01-10,24,24,0,0,0,True
2016-01-11,24,22,2,0,0,False
2016-01-12,24,24,0,0,0,True
2016-01-13,24,24,0,0,0,True
2016-01-14,24,24,0,0,0,True
2016-01-15,24,24,0,0,0,True
2016-01-16,24,24,0,0,0,True
2016-01-17,24,24,0,0,0,True
2016-01-18,24,24,0,0,0,True
2016-01-19,24,24,0,0,0,True
2016-01-20,24,24,0,0,0,True
2016-01-21,24,24,0,0,0,True
2016-01-22,24,24,0,0,0,True
2016-01-23,24,24,0,0,0,True
2016-01-24,24,24,0,0,0,True
2016-01-25,24,24,0,0,0,True
2016-01-26,24,24,0,0,0,True
2016-01-27,24,24,0,0,0,True
2016-01-28,24,24,0,0,0,True
2016-01-29,24,24,0,0,0,True
2016-01-30,24,24,0,0,0,True
2016-01-31,24,24,0,0,0,True
2016-02-01,24,24,0,0,0,True
2016-02-02,24,24,0,0,0,True
2016-02-03,24,24,0,0,0,True
2016-02-04,24,24,0,0,0,True
2016-02-05,24,24,0,0,0,True
2016-02-06,24,24,0,0,0,True
2016-02-07,24,24,0,0,0,True
2016-02-08,24,24,0,0,0,True
2016-02-09,24,24,0,0,0,True
2016-02-10,24,24,0,0,0,True
2016-02-11,24,24,0,0,0,True
2016-02-12,24,24,0,0,0,True
2016-02-13,24,24,0,0,0,True
2016-02-14,24,24,0,0,0,True
2016-02-15,24,24,0,0,0,True
2016-02-16,24,24,0,0,0,True
2016-02-17,24,24,0,0,0,True
2016-02-18,24,24,0,0,0,True
2016-02-19,24,24,0,0,0,True
2016-02-20,24,24,0,0,0,True
2016-02-21,24,24,0,0,0,True
2016-02-22,24,24,0,0,0,True
2016-02-23,24,24,0,0,0,True
2016-02-24,24,24,0,0,0,True
2016-02-25,24,21,3,0,0,False
2016-02-26,24,24,0,0,0,True
2016-02-27,24,24,0,0,0,True
2016-02-28,24,24,0,0,0,True
2016-02-29,24,24,0,0,0,True
2016-03-01,24,24,0,0,0,True
2016-03-02,24,24,0,0,0,True
2016-03-03,24,19,5,0,0,False
2016-03-04,24,24,0,0,0,True
2016-03-05,24,24,0,0,0,True
2016-03-06,24,22,2,0,0,False
2016-03-07,24,20,4,0,0,False
2016-03-08,24,24,0,0,0,True
2016-03-09,24,24,0,0,0,True
2016-03-10,24,24,0,0,0,True
2016-03-11,24,22,2,0,0,False
2016-03-12,24,24,0,0,0,True
2016-03-13,24,24,0,0,0,True
2016-03-14,24,24,0,0,0,True
2016-03-15,24,24,0,0,0,True
2016-03-16,24,22,2,0,0,False
2016-03-17,24,24,0,0,0,True
2016-03-18,24,24,0,0,0,True
2016-03-19,24,24,0,0,0,True
2016-03-20,24,24,0,0,0,True
2016-03-21,24,24,0,0,0,True
2016-03-22,24,24,0,0,0,True
2016-03-23,24,24,0,0,0,True
2016-03-24,24,22,2,0,0,False
2016-03-25,24,24,0,0,0,True
2016-03-26,24,24,0,0,0,True
2016-03-27,24,17,7,0,0,False
2016-03-28,24,19,5,0,0,False
2016-03-29,24,19,5,0,0,False
2016-03-30,24,16,8,0,0,False
2016-03-31,24,16,8,0,0,False
2016-04-01,24,21,3,0,0,False
2016-04-02,24,11,13,0,0,False
2016-04-03,24,11,13,0,0,False
2016-04-04,24,14,10,0,0,False
2016-04-05,24,17,7,0,0,False
2016-04-06,24,16,7,1,0,False
2016-04-07,24,14,10,0,0,False
2016-04-08,24,10,14,0,0,False
2016-04-09,24,15,9,0,0,False
2016-04-10,24,16,8,0,0,False
2016-04-11,24,14,10,0,0,False
2016-04-12,24,15,9,1,0,False
2016-04-13,24,14,10,0,0,False
2016-04-14,24,18,6,0,0,False
2016-04-15,24,17,7,0,0,False
2016-04-16,24,14,10,0,0,False
2016-04-17,24,19,5,0,0,False
2016-04-18,24,18,6,0,0,False
2016-04-19,24,13,11,0,0,False
2016-04-20,24,19,5,0,0,False
2016-04-21,24,22,2,0,0,False
2016-04-22,24,12,12,0,0,False
2016-04-23,24,0,24,1,0,False
2016-04-24,24,1,23,0,0,False
2016-04-25,24,22,2,0,0,False
2016-04-26,24,17,7,0,0,False
2016-04-27,24,11,13,0,0,False
2016-04-28,24,16,8,0,0,False
2016-04-29,24,7,17,0,0,False
2016-04-30,24,12,12,0,0,False
2016-05-01,24,17,7,0,0,False
2016-05-02,24,18,6,0,0,False
2016-05-03,24,24,0,0,0,True
2016-05-04,24,16,8,0,0,False
2016-05-05,24,12,12,0,0,False
2016-05-06,24,15,9,0,0,False
2016-05-07,24,18,6,0,0,False
2016-05-08,24,11,13,0,0,False
2016-05-09,24,17,7,0,0,False
2016-05-10,24,16,8,0,0,False
2016-05-11,24,17,7,0,0,False
2016-05-12,24,16,8,0,0,False
2016-05-13,24,20,4,0,0,False
2016-05-14,24,15,9,0,0,False
2016-05-15,24,18,6,0,0,False
2016-05-16,24,15,9,0,0,False
2016-05-17,24,13,11,0,0,False
2016-05-18,24,16,8,0,0,False
2016-05-19,24,18,6,0,0,False
2016-05-20,24,20,4,0,0,False
2016-05-21,24,20,4,0,0,False
2016-05-22,24,20,4,0,0,False
2016-05-23,24,12,12,0,0,False
2016-05-24,24,17,7,0,0,False
2016-05-25,24,13,11,0,0,False
2016-05-26,24,24,0,0,0,True
2016-05-27,24,24,0,0,0,True
2016-05-28,24,24,0,0,0,True
2016-05-29,24,24,0,0,0,True
2016-05-30,24,24,0,0,0,True
2016-05-31,24,22,2,0,0,False
2016-06-01,24,16,8,0,0,False
2016-06-02,24,15,9,0,0,False
2016-06-03,24,12,12,0,0,False
2016-06-04,24,20,4,0,0,False
2016-06-05,24,18,6,0,0,False
2016-06-06,24,8,16,1,0,False
2016-06-07,24,15,9,0,0,False
2016-06-08,24,7,17,0,0,False
2016-06-09,24,19,5,0,0,False
2016-06-10,24,13,11,0,0,False
2016-06-11,24,15,9,0,0,False
2016-06-12,24,15,9,0,0,False
2016-06-13,24,22,2,0,0,False
2016-06-14,24,17,7,0,0,False
2016-06-15,24,11,13,0,0,False
2016-06-16,24,15,9,0,0,False
2016-06-17,24,10,14,0,0,False
2016-06-18,24,15,9,0,0,False
2016-06-19,24,20,4,0,0,False
2016-06-20,24,19,5,0,0,False
2016-06-21,24,13,11,0,0,False
2016-06-22,24,7,17,0,0,False
2016-06-23,24,7,17,0,0,False
2016-06-24,24,14,10,0,0,False
2016-06-25,24,6,18,0,0,False
2016-06-26,24,6,18,0,0,False
2016-06-27,24,6,18,0,0,False
2016-06-28,24,12,12,0,0,False
2016-06-29,24,10,14,0,0,False
2016-06-30,24,9,15,0,0,False
2016-07-01,24,13,11,0,0,False
2016-07-02,24,13,11,0,0,False
2016-07-03,24,13,11,0,0,False
2016-07-04,24,13,11,1,0,False
2016-07-05,24,7,17,0,0,False
2016-07-06,24,8,16,0,0,False
2016-07-07,24,13,11,0,0,False
2016-07-08,24,10,14,0,0,False
2016-07-09,24,16,8,0,0,False
2016-07-10,24,16,8,0,0,False
2016-07-11,24,18,6,0,0,False
2016-07-12,24,19,5,0,0,False
2016-07-13,24,6,18,0,0,False
2016-07-14,24,10,14,0,0,False
2016-07-15,24,12,12,0,0,False
2016-07-16,24,7,17,0,0,False
2016-07-17,24,15,9,0,0,False
2016-07-18,24,16,8,0,0,False
2016-07-19,24,11,13,0,0,False
2016-07-20,24,17,7,0,0,False
2016-07-21,24,21,3,0,0,False
2016-07-22,24,6,18,1,0,False
2016-07-23,24,17,7,0,0,False
2016-07-24,24,20,4,0,0,False
2016-07-25,24,11,13,0,0,False
2016-07-26,24,21,3,0,0,False
2016-07-27,24,13,11,0,0,False
2016-07-28,24,11,13,0,0,False
2016-07-29,24,19,5,0,0,False
2016-07-30,24,15,9,0,0,False
2016-07-31,24,24,0,0,0,True
2016-08-01,24,21,3,0,0,False
2016-08-02,24,18,6,0,0,False
2016-08-03,24,15,9,0,0,False
2016-08-04,24,21,3,0,0,False
2016-08-05,24,21,3,0,0,False
2016-08-06,24,11,13,0,0,False
2016-08-07,24,9,15,0,0,False
2016-08-08,24,14,10,0,0,False
2016-08-09,24,9,15,0,0,False
2016-08-10,24,19,4,1,0,False
2016-08-11,24,24,0,0,0,True
2016-08-12,24,24,0,0,0,True
2016-08-13,24,24,0,0,0,True
2016-08-14,24,24,0,0,0,True
2016-08-15,24,24,0,0,0,True
2016-08-16,24,24,0,0,0,True
2016-08-17,24,22,2,0,0,False
2016-08-18,24,16,8,0,0,False
2016-08-19,24,14,10,0,0,False
2016-08-20,24,10,14,0,0,False
2016-08-21,24,7,17,0,0,False
2016-08-22,24,20,4,0,0,False
2016-08-23,24,21,3,0,0,False
2016-08-24,24,13,11,0,0,False
2016-08-25,24,16,8,0,0,False
2016-08-26,24,21,3,0,0,False
2016-08-27,24,24,0,0,0,True
2016-08-28,24,24,0,0,0,True
2016-08-29,24,24,0,0,0,True
2016-08-30,24,24,0,0,0,True
2016-08-31,24,19,5,0,0,False
2016-09-01,24,24,0,0,0,True
2016-09-02,24,24,0,0,0,True
2016-09-03,24,24,0,0,0,True
2016-09-04,24,24,0,0,0,True
2016-09-05,24,10,14,0,0,False
2016-09-06,24,9,15,0,0,False
2016-09-07,24,12,12,0,0,False
2016-09-08,24,14,10,0,0,False
2016-09-09,24,19,5,0,0,False
2016-09-10,24,21,3,0,0,False
2016-09-11,24,17,7,0,0,False
2016-09-12,24,19,5,0,0,False
2016-09-13,24,22,2,0,0,False
2016-09-14,24,22,2,0,0,False
2016-09-15,24,22,2,0,0,False
2016-09-16,24,18,6,0,0,False
2016-09-17,24,20,4,0,0,False
2016-09-18,24,18,6,0,0,False
2016-09-19,24,11,13,0,0,False
2016-09-20,24,13,11,1,0,False
2016-09-21,24,15,9,0,0,False
2016-09-22,24,13,11,0,0,False
2016-09-23,24,15,9,0,0,False
2016-09-24,24,13,11,0,0,False
2016-09-25,24,8,16,0,0,False
2016-09-26,24,10,14,0,0,False
2016-09-27,24,12,12,0,0,False
2016-09-28,24,17,7,0,0,False
2016-09-29,24,13,11,0,0,False
2016-09-30,24,9,15,0,0,False
2016-10-01,24,14,10,0,0,False
2016-10-02,24,11,13,0,0,False
2016-10-03,24,17,7,0,0,False
2016-10-04,24,10,14,0,0,False
2016-10-05,24,14,10,0,0,False
2016-10-06,24,9,15,0,0,False
2016-10-07,24,13,11,0,0,False
2016-10-08,24,14,10,0,0,False
2016-10-09,24,9,15,0,0,False
2016-10-10,24,9,15,0,0,False
2016-10-11,24,7,17,0,0,False
2016-10-12,24,14,10,0,0,False
2016-10-13,24,11,13,0,0,False
2016-10-14,24,9,15,0,0,False
2016-10-15,24,12,12,0,0,False
2016-10-16,24,15,9,0,0,False
2016-10-17,24,12,12,0,0,False
2016-10-18,24,11,13,0,0,False
2016-10-19,24,15,9,0,0,False
2016-10-20,24,10,14,0,0,False
2016-10-21,24,7,17,0,0,False
2016-10-22,24,15,9,0,0,False
2016-10-23,24,15,9,0,0,False
2016-10-24,24,9,15,0,0,False
2016-10-25,24,13,11,0,0,False
2016-10-26,24,12,12,0,0,False
2016-10-27,24,13,11,0,0,False
2016-10-28,24,23,1,0,0,False
2016-10-29,24,10,14,0,0,False
2016-10-30,24,17,7,0,0,False
2016-10-31,24,11,13,0,0,False
2016-11-01,24,12,12,0,0,False
2016-11-02,24,8,16,0,0,False
2016-11-03,24,16,8,0,0,False
2016-11-04,24,13,11,0,0,False
2016-11-05,24,24,0,0,0,True
2016-11-06,24,20,4,0,0,False
2016-11-07,24,11,13,0,0,False
2016-11-08,24,11,13,0,0,False
2016-11-09,24,2,22,0,0,False
2016-11-10,24,13,11,0,0,False
2016-11-11,24,24,0,0,0,True
2016-11-12,24,14,10,0,0,False
2016-11-13,24,13,11,0,0,False
2016-11-14,24,18,6,0,0,False
2016-11-15,24,13,11,0,0,False
2016-11-16,24,10,14,0,0,False
2016-11-17,24,13,11,0,0,False
2016-11-18,24,10,14,0,0,False
2016-11-19,24,13,11,0,0,False
2016-11-20,24,8,16,0,0,False
2016-11-21,24,13,11,0,0,False
2016-11-22,24,18,6,0,0,False
2016-11-23,24,9,15,0,0,False
2016-11-24,24,24,0,0,0,True
2016-11-25,24,16,8,0,0,False
2016-11-26,24,16,8,0,0,False
2016-11-27,24,15,9,0,0,False
2016-11-28,24,8,16,0,0,False
2016-11-29,24,7,17,0,0,False
2016-11-30,24,7,17,0,0,False
2016-12-01,24,4,20,0,0,False
2016-12-02,24,11,13,0,0,False
2016-12-03,24,13,11,0,0,False
2016-12-04,24,21,3,0,0,False
2016-12-05,24,24,0,0,0,True
2016-12-06,24,24,0,0,0,True
2016-12-07,24,19,5,0,0,False
2016-12-08,24,5,19,0,0,False
2016-12-09,24,14,10,0,0,False
2016-12-10,24,7,17,0,0,False
2016-12-11,24,10,14,0,0,False
2016-12-12,24,7,17,0,0,False
2016-12-13,24,7,17,0,0,False
2016-12-14,24,7,17,0,0,False
2016-12-15,24,8,16,0,0,False
2016-12-16,24,10,14,0,0,False
2016-12-17,24,12,12,0,0,False
2016-12-18,24,14,10,0,0,False
2016-12-19,24,8,16,0,0,False
2016-12-20,24,13,11,0,0,False
2016-12-21,24,2,22,2,0,False
2016-12-22,24,7,17,0,0,False
2016-12-23,24,17,7,0,0,False
2016-12-24,24,9,15,0,0,False
2016-12-25,24,13,11,0,0,False
2016-12-26,24,17,7,0,0,False
2016-12-27,24,13,11,0,0,False
2016-12-28,24,10,14,0,0,False
2016-12-29,24,4,20,0,0,False
2016-12-30,24,12,12,0,0,False
2016-12-31,24,7,17,0,0,False
2017-01-01,24,24,0,0,0,True
2017-01-02,24,24,0,0,0,True
2017-01-03,24,20,4,0,0,False
2017-01-04,24,22,2,0,0,False
2017-01-05,24,13,11,0,0,False
2017-01-06,24,18,6,0,0,False
2017-01-07,24,24,0,0,0,True
2017-01-08,24,24,0,0,0,True
2017-01-09,24,22,2,0,0,False
2017-01-10,24,21,3,0,0,False
2017-01-11,24,22,2,0,0,False
2017-01-12,24,24,0,0,0,True
2017-01-13,24,24,0,0,0,True
2017-01-14,24,24,0,0,0,True
2017-01-15,24,24,0,0,0,True
2017-01-16,24,24,0,0,0,True
2017-01-17,24,24,0,0,0,True
2017-01-18,24,24,0,0,0,True
2017-01-19,24,24,0,0,0,True
2017-01-20,24,24,0,0,0,True
2017-01-21,24,24,0,0,0,True
2017-01-22,24,24,0,0,0,True
2017-01-23,24,24,0,0,0,True
2017-01-24,24,24,0,0,0,True
2017-01-25,24,24,0,0,0,True
2017-01-26,24,24,0,0,0,True
2017-01-27,24,24,0,0,0,True
2017-01-28,24,24,0,0,0,True
2017-01-29,24,20,4,0,0,False
2017-01-30,24,24,0,0,0,True
2017-01-31,24,24,0,0,0,True
2017-02-01,24,24,0,0,0,True
2017-02-02,24,24,0,0,0,True
2017-02-03,24,24,0,0,0,True
2017-02-04,24,24,0,0,0,True
2017-02-05,24,24,0,0,0,True
2017-02-06,24,24,0,0,0,True
2017-02-07,24,24,0,0,0,True
2017-02-08,24,24,0,0,0,True
2017-02-09,24,24,0,0,0,True
2017-02-10,24,24,0,0,0,True
2017-02-11,24,24,0,0,0,True
2017-02-12,24,24,0,0,0,True
2017-02-13,24,24,0,0,0,True
2017-02-14,24,24,0,0,0,True
2017-02-15,24,24,0,0,0,True
2017-02-16,24,24,0,0,0,True
2017-02-17,24,24,0,0,0,True
2017-02-18,24,24,0,0,0,True
2017-02-19,24,24,0,0,0,True
2017-02-20,24,21,3,0,0,False
2017-02-21,24,24,0,0,0,True
2017-02-22,24,24,0,0,0,True
2017-02-23,24,24,0,0,0,True
2017-02-24,24,24,0,0,0,True
2017-02-25,24,24,0,0,0,True
2017-02-26,24,24,0,0,0,True
2017-02-27,24,24,0,0,0,True
2017-02-28,24,24,0,0,0,True
2017-03-01,24,24,0,0,0,True
2017-03-02,24,24,0,0,0,True
2017-03-03,24,24,0,0,0,True
2017-03-04,24,22,2,0,0,False
2017-03-05,24,9,15,0,0,False
2017-03-06,24,24,0,0,0,True
2017-03-07,24,24,0,0,0,True
2017-03-08,24,24,0,0,0,True
2017-03-09,24,24,0,0,0,True
2017-03-10,24,24,0,0,0,True
2017-03-11,24,24,0,0,0,True
2017-03-12,24,24,0,0,0,True
2017-03-13,24,24,0,0,0,True
2017-03-14,24,24,0,0,0,True
2017-03-15,24,24,0,0,0,True
2017-03-16,24,24,0,0,0,True
2017-03-17,24,24,0,0,0,True
2017-03-18,24,24,0,0,0,True
2017-03-19,24,24,0,0,0,True
2017-03-20,24,24,0,0,0,True
2017-03-21,24,24,0,0,0,True
2017-03-22,24,21,0,3,0,False
2017-03-23,24,22,2,0,0,False
2017-03-24,24,24,0,0,0,True
2017-03-25,24,24,0,0,0,True
2017-03-26,24,24,0,0,0,True
2017-03-27,24,24,0,0,0,True
2017-03-28,24,24,0,0,0,True
2017-03-29,24,24,0,0,0,True
2017-03-30,24,24,0,0,0,True
2017-03-31,24,24,0,0,0,True
2017-04-01,24,24,0,0,0,True
2017-04-02,24,24,0,0,0,True
2017-04-03,24,24,0,0,0,True
2017-04-04,24,24,0,0,0,True
2017-04-05,24,24,0,0,0,True
2017-04-06,24,24,0,0,0,True
2017-04-07,24,24,0,0,0,True
2017-04-08,24,24,0,0,0,True
2017-04-09,24,24,0,0,0,True
2017-04-10,24,24,0,0,0,True
2017-04-11,24,24,0,0,0,True
2017-04-12,24,24,0,0,0,True
2017-04-13,24,24,0,0,0,True
2017-04-14,24,24,0,0,0,True
2017-04-15,24,24,0,0,0,True
2017-04-16,24,24,0,0,0,True
2017-04-17,24,24,0,0,0,True
2017-04-18,24,24,0,0,0,True
2017-04-19,24,24,0,0,0,True
2017-04-20,24,24,0,0,0,True
2017-04-21,24,24,0,0,0,True
2017-04-22,24,24,0,0,0,True
2017-04-23,24,24,0,0,0,True
2017-04-24,24,24,0,0,0,True
2017-04-25,24,24,0,0,0,True
2017-04-26,24,24,0,0,0,True
2017-04-27,24,24,0,0,0,True
2017-04-28,24,24,0,0,0,True
2017-04-29,24,24,0,0,0,True
2017-04-30,24,24,0,0,0,True
2017-05-01,24,24,0,0,0,True
2017-05-02,24,24,0,0,0,True
2017-05-03,24,24,0,0,0,True
2017-05-04,24,24,0,0,0,True
2017-05-05,24,24,0,0,0,True
2017-05-06,24,24,0,0,0,True
2017-05-07,24,24,0,0,0,True
2017-05-08,24,24,0,0,0,True
2017-05-09,24,24,0,0,0,True
2017-05-10,24,24,0,0,0,True
2017-05-11,24,24,0,0,0,True
2017-05-12,24,23,0,1,0,False
2017-05-13,24,23,0,1,0,False
2017-05-14,24,24,0,0,0,True
2017-05-15,24,24,0,0,0,True
2017-05-16,24,24,0,0,0,True
2017-05-17,24,24,0,0,0,True
2017-05-18,24,24,0,0,0,True
2017-05-19,24,24,0,0,0,True
2017-05-20,24,24,0,0,0,True
2017-05-21,24,24,0,0,0,True
2017-05-22,24,24,0,0,0,True
2017-05-23,24,24,0,0,0,True
2017-05-24,24,24,0,0,0,True
2017-05-25,24,24,0,0,0,True
2017-05-26,24,24,0,0,0,True
2017-05-27,24,24,0,0,0,True
2017-05-28,24,24,0,0,0,True
2017-05-29,24,24,0,0,0,True
2017-05-30,24,24,0,0,0,True
2017-05-31,24,24,0,0,0,True
2017-06-01,24,24,0,0,0,True
2017-06-02,24,24,0,0,0,True
2017-06-03,24,24,0,0,0,True
2017-06-04,24,24,0,0,0,True
2017-06-05,24,24,0,0,0,True
2017-06-06,24,24,0,0,0,True
2017-06-07,24,24,0,0,0,True
2017-06-08,24,24,0,0,0,True
2017-06-09,24,24,0,0,0,True
2017-06-10,24,24,0,0,0,True
2017-06-11,24,24,0,0,0,True
2017-06-12,24,24,0,0,0,True
2017-06-13,24,24,0,0,0,True
2017-06-14,24,24,0,0,0,True
2017-06-15,24,24,0,0,0,True
2017-06-16,24,24,0,0,0,True
2017-06-17,24,24,0,0,0,True
2017-06-18,24,24,0,0,0,True
2017-06-19,24,24,0,0,0,True
2017-06-20,24,24,0,0,0,True
2017-06-21,24,24,0,0,0,True
2017-06-22,24,24,0,0,0,True
2017-06-23,24,24,0,0,0,True
2017-06-24,24,24,0,0,0,True
2017-06-25,24,24,0,0,0,True
2017-06-26,24,24,0,0,0,True
2017-06-27,24,24,0,0,0,True
2017-06-28,24,24,0,0,0,True
2017-06-29,24,24,0,0,0,True
2017-06-30,24,24,0,0,0,True
2017-07-01,24,24,0,0,0,True
2017-07-02,24,24,0,0,0,True
2017-07-03,24,24,0,0,0,True
2017-07-04,24,24,0,0,0,True
2017-07-05,24,24,0,0,0,True
2017-07-06,24,24,0,0,0,True
2017-07-07,24,24,0,0,0,True
2017-07-08,24,24,0,0,0,True
2017-07-09,24,24,0,0,0,True
2017-07-10,24,24,0,0,0,True
2017-07-11,24,24,0,0,0,True
2017-07-12,24,24,0,0,0,True
2017-07-13,24,24,0,0,0,True
2017-07-14,24,24,0,0,0,True
2017-07-15,24,24,0,0,0,True
2017-07-16,24,24,0,0,0,True
2017-07-17,24,24,0,0,0,True
2017-07-18,24,24,0,0,0,True
2017-07-19,24,24,0,0,0,True
2017-07-20,24,24,0,0,0,True
2017-07-21,24,24,0,0,0,True
2017-07-22,24,24,0,0,0,True
2017-07-23,24,24,0,0,0,True
2017-07-24,24,24,0,0,0,True
2017-07-25,24,24,0,0,0,True
2017-07-26,24,24,0,0,0,True
2017-07-27,24,24,0,0,0,True
2017-07-28,24,24,0,0,0,True
2017-07-29,24,24,0,0,0,True
2017-07-30,24,24,0,0,0,True
2017-07-31,24,24,0,0,0,True
2017-08-01,24,24,0,0,0,True
2017-08-02,24,24,0,0,0,True
2017-08-03,24,24,0,0,0,True
2017-08-04,24,24,0,0,0,True
2017-08-05,24,24,0,0,0,True
2017-08-06,24,24,0,0,0,True
2017-08-07,24,24,0,0,0,True
2017-08-08,24,24,0,0,0,True
2017-08-09,24,24,0,0,0,True
2017-08-10,24,24,0,0,0,True
2017-08-11,24,24,0,0,0,True
2017-08-12,24,24,0,0,0,True
2017-08-13,24,24,0,0,0,True
2017-08-14,24,24,0,0,0,True
2017-08-15,24,24,0,0,0,True
2017-08-16,24,24,0,0,0,True
2017-08-17,24,24,0,0,0,True
2017-08-18,24,24,0,0,0,True
2017-08-19,24,24,0,0,0,True
2017-08-20,24,24,0,0,0,True
2017-08-21,24,24,0,0,0,True
2017-08-22,24,24,0,0,0,True
2017-08-23,24,24,0,0,0,True
2017-08-24,24,24,0,0,0,True
2017-08-25,24,24,0,0,0,True
2017-08-26,24,24,0,0,0,True
