interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,7.865838838684025,0.0,27.5981897569052,0.6788398170194039,0.4,32.7981897569052,32.654817050929175,31.5981897569052,31.61607380178033,33.88249294700991,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.012502699973993003,0.0,1
1,0.25,7.865838838684025,0.0,27.41925765173548,0.6965490576310533,0.4,33.88249294700991,33.94983319378313,32.68424724889616,32.782519777578095,34.539909583867995,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.01136239999323152,0.0,1
2,0.5,7.865838838684025,0.0,27.25320352048645,0.6991600960922753,0.4,34.539909583867995,34.371133996215065,33.340970398781614,33.27156117609912,34.917841257156844,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011528000002726912,0.0,1
3,0.75,7.865838838684025,0.0,27.10073843244121,0.6864949944468823,0.4,34.917841257156844,34.97453724393117,33.71845100775987,33.706329506938765,35.115754035476684,0.0,0.0,100.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011517500010086223,0.0,1
4,1.0,8.219359685366454,0.0,26.962515266513638,0.6594168584419384,0.4,35.115754035476684,33.70127135043328,33.91607325836846,34.03933682808933,35.19957778734948,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.011332599999150261,0.0,1
5,1.25,8.219359685366454,0.0,26.839125915520636,0.6197710182974447,0.4,35.19957778734948,34.029216463915326,33.999712892495786,33.84886263688954,35.21306734353519,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.011369999992894009,0.0,1
6,1.5,8.219359685366454,0.0,26.731098751606243,0.5702592725013997,0.4,35.21306734353519,33.97507786617835,34.01308895088543,34.23188246248683,35.21306771580543,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.011044200015021488,0.0,1
7,1.75,8.219359685366454,0.0,26.63889636367097,0.5142557647077755,0.4,35.18530693142938,34.84055579775961,33.985261982875464,33.921157492560525,35.18530693142938,0.0,0.0,100.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.012284299999009818,0.0,1
8,2.0,9.014781590401917,0.0,26.562913576495117,0.45557704142253475,0.4,35.13566690965283,34.59987873020448,33.93558666906704,33.896056101258566,35.13566690965283,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.011195200000656769,0.0,1
9,2.25,9.014781590401917,0.0,26.50347576003847,0.39822196066639165,0.4,35.07707756287242,33.7975861130377,33.87698289992463,33.818663045918704,35.07707756287242,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.019096900010481477,4.1160032084816844e-05,2
10,2.5,9.014781590401917,0.0,26.46083743615615,0.3460991764091244,0.4,35.01819122865797,34.94866129892312,33.818096108429955,34.06345414646387,35.01819122865797,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.013918400014517829,8.592302216947623e-18,2
11,2.75,9.014781590401917,0.0,26.435181188696976,0.3027607702608931,0.4,34.96481014656444,34.40593133231158,33.76472393405935,33.834055010462585,34.96481014656444,0.0,0.0,100.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.012981600011698902,4.163336342344337e-17,2
12,3.0,7.468127886166294,0.0,26.42661688165139,0.27116018298059613,0.4,34.92082933910881,34.97119711760542,33.720758321035184,33.41357610207702,34.92082933910881,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.012888900004327297,6.245004513516506e-17,2
13,3.25,7.468127886166294,0.0,26.435181188696976,0.25345094236894666,0.4,34.8888592226284,33.81824044715335,33.68880761227683,33.82159003531256,34.8888592226284,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.012740700010908768,1.3877787807814457e-17,2
14,3.5,7.468127886166294,0.0,26.46083743615615,0.25083990390772476,0.4,34.87063675025499,34.33484346557055,33.670607351071595,33.768124106530564,34.87063675025499,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.012855500011937693,2.7755575615628914e-17,2
15,3.75,7.468127886166294,0.0,26.50347576003847,0.26350500555311757,0.4,34.867296963508224,33.61036447479099,33.667291607371666,33.61169418474034,34.879552435056766,0.0,0.0,100.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.012799000018276274,8.673617379884035e-18,2
16,4.0,9.147351907907826,0.0,26.562913576495117,0.2905831415580613,0.4,34.879552435056766,33.47007018095873,33.67957227189442,33.86249189602749,34.90781196985503,0.0,0.0,100.0,0.2804205572372348,0.0,2.3368379769769563,0.05,0,0,optimal,0.01308850001078099,3.469446951953614e-18,2
17,4.25,9.147351907907826,0.0,26.63889636367097,0.33022898170255527,0.4,34.90781196985503,33.96450386254588,33.70785765922413,33.80646418964632,34.952259285456044,0.0,0.0,100.0,0.2804205572372348,0.0,2.3368379769769563,0.05,0,0,optimal,0.012914699997054413,7.632783294297951e-17,2
18,4.5,9.147351907907826,0.0,26.731098751606243,0.3797407274986006,0.4,34.952259285456044,34.79249098665164,33.752331123532755,33.73154657628703,36.86815898914766,9.34233052832481,9.342330528324812,97.61675241624367,0.003212341928427983,0.0,0.0267695160702332,0.07551417117447931,0,0,optimal,0.020494100026553497,2.7755575615628914e-17,3
19,4.75,9.147351907907826,0.0,26.839125915520636,0.4357442352922245,0.3861583084043884,36.86815898914766,36.435185376538904,35.057932736676904,35.191357287476315,37.81604146795571,9.481717632616862,9.481717632616862,95.19794689771896,-0.00029775104556377055,0.0,-0.007443776139094263,0.07614765503816472,0,0,optimal,0.027042900008382276,4.163336342344337e-17,3
20,5.0,8.351930002872363,0.2578557799051633,26.962515266513638,0.4944229585774656,0.44244612232088154,37.81604146795571,36.21742431197861,35.99000345433388,36.073934699015915,38.23796243520155,8.415090918146484,8.415090918146486,93.05124003084487,-0.0002941847317043739,0.0,-0.007354618292609347,0.07289955550221193,0,0,optimal,0.02470850001554936,1.3877787807814457e-16,3
21,5.25,8.351930002872363,0.2578557799051633,27.10073843244121,0.5517780393336084,0.48026621784423146,38.23796243520155,36.419791134996814,36.489178803101964,36.8288956551635,38.62879641774417,8.416431892192636,8.416431892192636,90.9041910787549,-0.0002997722724783674,0.0,-0.007494306811959187,0.07309511049439986,0,0,optimal,0.026288699998985976,6.938893903907228e-17,3
22,5.5,8.351930002872363,0.2578557799051633,27.25320352048645,0.6039008235908756,0.5404193729329447,38.62879641774417,37.830307485853,36.875137246370535,37.00735593466744,38.95017876910256,8.418792222571296,8.418792222571296,88.75654000156835,-0.0003153849677415138,0.0,-0.007884624193537845,0.0732948757074864,0,0,optimal,0.03466360000311397,2.064978545830709e-05,4
23,5.75,8.351930002872363,0.2578557799051633,27.41925765173548,0.6472392297391069,0.6004826066824116,38.95017876910256,36.82466987901433,37.19161299700235,37.42930683362954,39.22891359740184,8.421428172646607,8.42142817264661,86.6082164881381,-0.00033447633021058907,0.0,-0.008361908255264727,0.07347657916458716,0,0,optimal,0.05176470000878908,2.57126308050859e-06,7
24,6.0,8.086789367860543,5.279257809637291,27.5981897569052,0.6788398170194039,0.6638308813776611,39.22891359740184,38.59994602496191,37.465918821123026,37.597004191491195,39.22891359740184,3.0548295497469478,3.0548295497469478,85.82892323565163,-0.00017350697016498803,0.0,-0.0043376742541247,0.05748682362679912,0,0,optimal,0.039681199996266514,3.15847181143053e-05,7
25,6.25,8.086789367860543,5.279257809637291,27.789233621251114,0.6965490576310533,0.6914012653008745,38.308227889364204,37.8237881508693,36.92767161202357,36.91182339963272,38.308227889364204,3.0553513532276244,3.0553513532276235,85.04949687003234,-0.00017826037928241777,0.0,-0.004456509482060444,0.05749843926903253,0,0,optimal,0.040057499980321154,1.9884459427632617e-07,7
26,6.5,8.086789367860543,5.279257809637291,27.99157116561651,0.6991600960922753,0.6846208595659609,38.016682751612976,37.48890526991233,36.63624947201751,36.5514128970046,38.016682751612976,3.0552210403857796,3.05522104038578,84.27010374748495,-0.00017690987750953625,0.0,-0.004422746937738406,0.057499623602893374,0,0,optimal,0.0414638000074774,2.7755575615628914e-17,5
27,6.75,8.086789367860543,5.279257809637291,28.204335949572982,0.6864949944468824,0.7058824586918948,37.89265420038056,37.08284877264243,36.51246327928934,36.6424005989399,37.89265420038056,3.0556340063378227,3.055634006337823,83.49060527648041,-0.00018129055081682417,0.0,-0.004532263770420604,0.05749334825822194,0,0,optimal,0.020629500009818003,5.551115123125783e-17,3
28,7.0,9.412492542919647,16.24491413402529,28.42661688165139,0.6594168584419388,0.6938202696836905,37.882449430919486,37.29699845573274,36.50259312670676,36.67200779395744,37.882449430919486,0.0,0.0,83.49060527648041,-0.06632421591105643,0.0,-1.6581053977764102,0.05,0,0,optimal,0.0237634000077378,0.0,3
29,7.25,9.412492542919647,16.24491413402529,28.657462120775385,0.6197710182974447,0.4,37.40636527283538,36.41462433804327,36.20588455476111,36.00637128208869,37.40636527283538,0.0,0.0,83.49060527648041,-0.06632421591105643,0.0,-1.6581053977764102,0.05,0,0,optimal,0.0307506000099238,0.0,4
30,7.5,9.412492542919647,16.24491413402529,28.895883152191033,0.5702592725014002,0.4,37.28782502584613,36.9713408083487,36.08763401261731,36.01619554849021,37.290429819052655,0.0,0.0,83.49060527648041,-0.06632421591105643,0.0,-1.6581053977764102,0.05,0,0,optimal,0.03204960000584833,0.0,4
31,7.75,9.412492542919647,16.24491413402529,29.140859020438747,0.5142557647077755,0.4,37.290429819052655,37.5553827897921,36.0904343408691,35.81245180252516,37.37528941315129,0.0,0.0,83.49060527648041,-0.06632421591105643,0.0,-1.6581053977764102,0.05,0,0,optimal,0.02895780000835657,0.0,4
32,8.0,11.268476988002396,12.268506580750929,29.391340701241308,0.4555770414225344,0.4,37.37528941315129,36.617059217618014,36.17542670081606,36.28717788562731,37.64787112747368,-0.7888126764888611,-0.7888126764888612,83.68386438222018,-3.982355822809842e-05,0.0,-0.0009955889557024603,0.05180864010921539,0,0,optimal,0.028092099993955344,0.0,3
