interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,34.20314191652492,0.0,16.471389678500902,0.5067520018134701,0.4,21.6713896785009,21.528016972524878,20.471389678500902,20.489273723376034,21.6713896785009,0.0,0.0,100.0,1.032094257495748,0.0,8.60078547913123,0.05,0,0,optimal,0.012590099999215454,0.0,1
1,0.25,34.20314191652492,0.0,16.292457573331184,0.4480185732465308,0.4,21.6713896785009,22.226561213027114,20.471389678500902,20.529539095424074,21.6713896785009,0.0,0.0,100.0,1.032094257495748,0.0,8.60078547913123,0.05,0,0,optimal,0.011398300004657358,0.0,1
2,0.5,34.20314191652492,0.0,16.126403442082154,0.39112388432392464,0.4,21.577421733254543,21.995677127893593,20.3772949220186,20.259600654543323,21.577421733254543,0.0,0.0,100.0,1.032094257495748,0.0,8.60078547913123,0.05,0,0,optimal,0.011346699990099296,0.0,1
3,0.75,34.20314191652492,0.0,15.973938354036914,0.3399452140728079,0.4,21.4455371072691,22.156744705837784,20.245359297150827,20.17940021931684,21.4455371072691,0.0,0.0,100.0,1.032094257495748,0.0,8.60078547913123,0.05,0,0,optimal,0.011838200007332489,0.0,1
4,1.0,42.7760224485738,0.0,15.835715188109338,0.2979703042940429,0.4,21.302820354664043,20.586253792848858,20.102627994899578,20.168482526201885,21.302820354664043,0.0,0.0,100.0,1.289280673457214,0.0,10.74400561214345,0.05,0,0,optimal,0.011883699975442141,0.0,1
5,1.25,42.7760224485738,0.0,15.71232583711634,0.26805967572223416,0.4,21.162456578722356,20.71750783013373,19.962267413874454,19.75174562553426,21.162456578722356,0.0,0.0,100.0,1.289280673457214,0.0,10.74400561214345,0.05,0,0,optimal,0.01187789998948574,0.0,1
6,1.5,42.7760224485738,0.0,15.604298673201946,0.2522516882648998,0.4,21.03100859759308,20.535369458475994,19.8308314604619,19.98855974848783,21.03100859759308,0.0,0.0,100.0,1.289280673457214,0.0,10.74400561214345,0.05,0,0,optimal,0.01177569999708794,0.0,1
7,1.75,42.7760224485738,0.0,15.51209628526667,0.2516236301433225,0.4,20.91186597050111,21.319384200513422,19.711705423490113,19.58571954355235,20.91186597050111,0.0,0.0,100.0,1.289280673457214,0.0,10.74400561214345,0.05,0,0,optimal,0.011574499978451058,0.0,1
8,2.0,32.47972778894808,0.0,15.43611349809082,0.2662183024805727,0.4,20.806879111922722,21.028604534637125,19.60673764606929,19.504894179431332,20.806879111922722,0.0,0.0,100.0,0.9803918336684424,0.0,8.16993194723702,0.05,0,0,optimal,0.011822300002677366,0.0,1
9,2.25,32.47972778894808,0.0,15.376675681634172,0.2950411024757033,0.4,20.717133040500286,20.19727868411444,19.517012116709385,19.396204640027534,20.717133040500286,0.0,0.0,100.0,0.9803918336684424,0.0,8.16993194723702,0.05,0,0,optimal,0.020301799988374114,0.0,2
10,2.5,32.47972778894808,0.0,15.334037357751852,0.3361278039409753,0.4,20.643313351228926,21.33345561482986,19.44321389276021,19.626081424010888,26.36049941511654,-24.999999999999996,-24.999999999999996,106.125,1.7408981475829073,0.0,14.5074845631909,0.13755261595387383,0,0,optimal,0.02077819997793995,0.0,2
11,2.75,32.47972778894808,0.0,15.308381110292679,0.3866784160705147,0.33625790529683186,26.36049941511654,26.56000454079501,23.064130640607637,23.07107587973279,28.139121253328792,-25.0,-25.0,112.25,1.7410214643348532,0.0,14.508512202790433,0.13858025555341635,0,0,optimal,0.020869400002993643,6.661338147750939e-16,2
12,3.0,32.52391789478339,0.0,15.299816803247094,0.4432479981865298,0.4131193258666548,28.139121253328792,28.964150516921197,24.815555709110722,24.444326586547305,29.05342525416589,-25.000000000000004,-25.000000000000004,118.375,1.7425056190026522,0.0,14.52088015835543,0.13990068465958536,0,0,optimal,0.02072899998165667,2.220446049250313e-16,2
13,3.25,32.52391789478339,0.0,15.308381110292679,0.501981426753469,0.4235678286654469,29.05342525416589,28.720441542509562,25.696996966863786,25.769362814438537,29.579528316493157,-24.999999999999993,-24.999999999999996,124.5,1.7426929874092199,0.0,14.522441561743504,0.14146208804765315,0,0,optimal,0.02061629999661818,2.220446049250313e-16,2
14,3.5,32.52391789478339,0.0,15.334037357751852,0.5588761156760753,0.48286253904909926,29.579528316493157,29.777138893481446,26.18509627300904,26.22257156957224,29.93682432765717,-24.999999999999993,-24.999999999999996,130.625,1.7428966928237732,0.0,14.524139106864775,0.1431596331689331,0,0,optimal,0.020336999994469807,0.0,2
15,3.75,32.52391789478339,0.0,15.376675681634172,0.6100547859271919,0.5796539616205718,29.93682432765717,29.447179241129714,26.501419717803056,26.38234380396299,30.220491171098875,-25.000000000000004,-25.000000000000004,136.75,1.7430985999346869,0.0,14.525821666122395,0.14484219242654392,0,0,optimal,0.020015799993416294,0.0,2
16,4.0,35.528845091584024,0.0,15.43611349809082,0.652029695705957,0.5857011370605504,30.220491171098875,29.527165525494144,26.74460656911339,26.86906120616354,30.46554711618637,-25.000000000000007,-25.000000000000004,142.875,1.8334252094412982,0.0,15.278543412010832,0.1463321391148176,0,0,optimal,0.020602399978088215,0.0,2
17,4.25,35.528845091584024,0.0,15.512096285266672,0.6819403242777659,0.6457671605048908,30.46554711618637,30.25397435591658,26.953858027346463,26.992396903078184,30.678910718616184,-24.999999999999993,-24.999999999999996,149.0,1.833559871542352,0.0,15.27966559618627,0.14745432329026426,0,0,optimal,0.02058389998273924,0.0,2
18,4.5,35.528845091584024,0.0,15.604298673201946,0.6977483117351002,0.6992488757074008,30.678910718616184,31.27481526259905,27.14025835358456,27.056947213034935,30.856363878510358,-24.999999999999996,-24.999999999999996,155.125,1.833633480632056,0.0,15.28027900526714,0.14806773237113324,0,0,optimal,0.020708800002466887,0.0,2
19,4.75,35.528845091584024,0.0,15.71232583711634,0.6983763698566776,0.704165892640888,30.856363878510358,31.238508898606796,27.30295767155581,27.369211784965735,30.99201304915264,-25.000000000000004,-25.000000000000004,161.25,1.8336364399921836,0.0,15.280303666601528,0.14809239370552413,0,0,optimal,0.021093899995321408,0.0,2
20,5.0,37.694160277513895,0.0,15.83571518810934,0.6837816975194272,0.7050782568853347,30.99201304915264,30.310588705362335,27.43797757160314,27.446335628179774,31.083506961432033,-25.0,-25.0,167.375,1.8985278145837026,0.0,15.821065121530863,0.14752505215238418,0,0,optimal,0.0206019000033848,0.0,2
21,5.25,37.694160277513895,0.0,15.973938354036914,0.6549588975242968,0.669624956786193,31.083506961432033,30.215807455638036,27.543047221633675,27.804850950344743,31.08350696143203,-1.530612244897959,-1.530612244897959,167.75,1.183174518862238,0.0,9.859787657185318,0.05359452658235261,0,0,optimal,0.020301400014432147,4.440892098500626e-16,2
22,5.5,37.694160277513895,0.0,16.126403442082154,0.6138721960590248,0.6436002311236332,25.010673561370538,25.209797125670146,23.719236447736293,23.769373730967914,29.296720154846604,-24.999999999999993,-24.999999999999996,173.875,1.8982216401971106,0.0,15.818513668309244,0.14497359893077802,0,0,optimal,0.020445299975108355,0.0,2
23,5.75,37.694160277513895,0.0,16.292457573331184,0.5633215839294857,0.6104539791505608,29.296720154846604,28.183736651372577,25.820199934828832,25.97466283168911,30.27632892459624,-25.0,-25.0,180.0,1.8980208011487745,0.0,15.816840009573125,0.14329994019464823,0,0,optimal,0.027494599984493107,0.0,3
24,6.0,75.83022161338083,0.9364236217608564,16.471389678500902,0.5067520018134701,0.57991323556804,30.27632892459624,30.690690421813386,26.838502472749152,26.883513492149827,30.741445708783353,25.0,25.0,173.62244897959184,2.5230093860322986,0.0,12.615046930161487,0.1415974322564926,0,0,optimal,0.020131400000536814,8.881784197001252e-16,2
25,6.25,75.83022161338083,0.9364236217608564,16.66243354284682,0.4480185732465306,0.5193134500949408,30.741445708783353,31.255656981723334,27.34378804139283,27.245595072933956,30.97758569385508,24.999999999999993,24.999999999999996,167.24489795918367,2.5226939531921024,0.0,12.61346976596051,0.1400202680555147,0,0,optimal,0.02065929997479543,0.0,2
26,6.5,75.83022161338083,0.9364236217608564,16.864771087212212,0.39112388432392475,0.4360903751814381,30.97758569385508,31.367584932584535,27.61746784841865,27.457291505143726,57.0399685955294,77.07008950196234,77.07008950196234,147.58416084133614,-0.0004993851961239673,0.0,-0.012484629903099176,0.5315882476824925,0,0,optimal,0.019505699980072677,0.0,2
27,6.75,75.83022161338083,0.9364236217608564,17.077535871168685,0.33994521407280776,0.39784624692354426,57.0399685955294,57.16131974962098,44.304402692768356,44.35697411444837,64.41418785920486,77.03408005222096,77.03408005222094,127.9326098076063,-0.000553703593143129,0.0,-0.013842589828578222,0.5212279253216671,0,0,optimal,0.02803799998946488,0.0,3
28,7.0,37.561589960007986,10.463516121414786,17.299816803247094,0.2979703042940431,0.3472704893096158,64.41418785920486,64.7288762987876,51.91497287707964,52.00961396010532,64.41418785920484,27.714639964772772,27.714639964772775,120.86254859210304,-0.00016600701342901037,0.0,-0.004150175335725259,0.14999135620916743,0,0,optimal,0.020100199995795265,0.0,2
29,7.25,37.561589960007986,10.463516121414786,17.530662042371087,0.2680596757222342,0.3087651904269533,43.658887023087715,43.49053598022454,40.04303493801238,39.775665426500964,43.658887023087715,27.7107805649545,27.7107805649545,113.79347191736974,-0.0001515806144125553,0.0,-0.003789515360313883,0.14938716623001097,0,0,optimal,0.02735490002669394,2.220446049250313e-16,3
30,7.5,37.561589960007986,10.463516121414786,17.769083073786735,0.25225168826489985,0.28897462035257626,38.08197692539251,38.55141354927138,34.489199842886514,34.352892483074015,38.08197692539251,27.708974141682727,27.708974141682727,106.72485606489965,-0.0001452393036262789,0.0,-0.0036309825906569726,0.14909409318172445,0,0,optimal,0.028287599998293445,0.0,3
31,7.75,37.561589960007986,10.463516121414786,18.014058942034445,0.2516236301433225,0.2637153166412172,35.55061727238319,36.565907719364894,31.96896242171735,31.629146576130204,35.55061727238319,26.361435774406644,26.361435774406637,100.0,0.06534486629661661,0.0,0.3267243314830829,0.1425648154364436,0,0,optimal,0.0696577999915462,2.767210770748818e-05,8
32,8.0,31.4633553547361,13.36778648455715,18.26454062283701,0.26621830248057265,0.23373493308663468,34.05188729532345,34.00932919865647,30.62852414493599,30.681552850789526,34.05188729532345,0.011663539943996284,0.011663539943996284,99.99702460715714,0.9142005164158374,0.0,4.571002582079188,0.050026249520450865,0,0,optimal,0.09290710001369007,5.55139591993381e-05,11
33,8.25,31.4633553547361,13.36778648455715,18.51945551518258,0.2950411024757034,0.4,27.443087960757286,27.531566807031147,26.23652396059268,26.3035496922688,27.443087960757286,3.316537892033011e-05,3.31653789203301e-05,99.9970161466013,0.9147768001644325,0.0,4.573884000822163,0.05000007462215638,0,0,optimal,0.0939230999792926,5.569070975819379e-05,11
34,8.5,31.4633553547361,13.36778648455715,18.777712034366886,0.33612780394097524,0.4,25.48448955970988,24.79475162595661,24.281853420780926,24.33524236000787,28.584045803005885,18.559484743227646,18.559484743227646,95.26245371210445,-0.00027873623248271653,0.0,-0.006968405812067911,0.10901056245010671,0,0,optimal,0.09389109999756329,0.0,11
35,8.75,31.4633553547361,13.36778648455715,19.038204286326522,0.3866784160705146,0.3528941369490099,28.584045803005885,28.747346438209657,25.97007701068477,25.984500996037237,29.56234996772551,18.55648048678903,18.556480486789035,90.52865766955622,-0.00022654036835118526,0.0,-0.0056635092087796305,0.10956439494374119,0,0,optimal,0.09406969998963177,4.440892098500626e-16,11
36,9.0,37.60578006584329,23.872016676483277,19.299816803247094,0.4432479981865298,0.3925873797367872,29.56234996772551,29.75643572079444,26.934103809850132,27.05444735093413,29.56234996772551,14.13438059422862,14.134380594228617,86.92294833429382,-0.0003038212938158736,0.0,-0.007595532345396838,0.09255876887175465,0,0,optimal,0.04353439999977127,4.440892098500626e-16,5
37,9.25,37.60578006584329,23.872016676483277,19.561429320167665,0.501981426753469,0.43673898934372385,29.035907727127917,29.7845766272083,26.81433312772318,26.744702297845198,29.14897962256535,14.136743477439035,14.136743477439037,83.31663622270223,-0.0003071228744018167,0.0,-0.007678071860045418,0.09306695015970981,0,0,optimal,0.04452540000784211,8.881784197001252e-16,5
38,9.5,37.60578006584329,23.872016676483277,19.8219215721273,0.5588761156760753,0.499874000346074,29.14897962256535,29.147755826832753,26.915509254306073,26.8579744917463,29.370638263940993,14.140561078466703,14.140561078466703,79.70935023329746,-0.0003229882845809141,0.0,-0.00807470711452285,0.09362471516214943,0,0,optimal,0.06208839997998439,0.0,7
39,9.75,37.60578006584329,23.872016676483277,20.080178091311605,0.6100547859271919,0.5533483221170746,29.370638263940993,28.731620755851917,27.123926073609248,27.273500149470188,29.64172320925529,14.144199009174624,14.144199009174626,76.10113620034474,-0.0003372540670192732,0.0,-0.008431351675481827,0.09417755327817064,0,0,optimal,0.04513820001739077,0.0,5
40,10.0,71.6763516648623,29.599129261745325,20.335092983657177,0.6520296957059571,0.637252133771385,29.64172320925529,30.664729126353848,27.381809570416298,27.402930547065992,29.64172320925529,0.0,0.0,76.10113620034474,2.1138611201558493,0.0,10.569305600779241,0.05,0,0,optimal,0.03797650002525188,4.440892098500626e-16,4
41,10.25,71.6763516648623,29.599129261745325,20.58557466445974,0.6819403242777656,0.4,26.98430420614987,25.883533775748,25.782141220410516,26.197821855191577,26.98430420614987,0.0,0.0,76.10113620034474,2.1138611201558493,0.0,10.569305600779241,0.05,0,0,optimal,0.03673769999295473,4.440892098500626e-16,4
42,10.5,71.6763516648623,29.599129261745325,20.830550532707452,0.6977483117351002,0.4,26.353757706803986,26.054468738820724,25.152909678718874,25.03529813210384,26.353757706803986,0.0,0.0,76.10113620034474,2.1138611201558493,0.0,10.569305600779241,0.05,0,0,optimal,0.03693319999729283,4.440892098500626e-16,4
43,10.75,71.6763516648623,29.599129261745325,21.0689715641231,0.6983763698566776,0.4,26.183621626401212,26.54192425013118,24.983393163781255,24.814576309562522,26.22945396056107,0.007531430111431518,0.00753143011143152,76.09921491715305,2.1134879385533156,0.0,10.56743969276658,0.05001694951519497,0,0,optimal,0.04569659999106079,5.84036980253444e-05,5
44,11.0,56.651715680859105,26.26057547981532,21.299816803247094,0.6837816975194273,0.4,26.22945396056107,25.99264112744736,25.029108784205583,24.957298995788065,26.371274564977448,0.0,0.0,76.09921491715305,1.5295570100521896,0.0,7.647785050260948,0.05,0,0,optimal,0.04513400001451373,4.440892098500626e-16,5
45,11.25,56.651715680859105,26.26057547981532,21.522097735325502,0.6549588975242966,0.4,26.371274564977448,26.623810712866266,25.171466417637685,25.310204649427764,26.555603429901446,0.0,0.0,76.09921491715305,1.5295570100521896,0.0,7.647785050260948,0.05,0,0,optimal,0.07887070000288077,4.440892098500626e-16,9
46,11.5,56.651715680859105,26.26057547981532,21.734862519281975,0.6138721960590252,0.4,26.555603429901446,26.246089957515615,25.35585192701679,25.35885715529576,26.7548924589002,0.0,0.0,76.09921491715305,1.5295570100521896,0.0,7.647785050260948,0.05,0,0,optimal,0.04523789999075234,4.440892098500626e-16,5
