interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,8.086789367860543,0.0,34.360609363533655,0.4230074976326368,0.4,39.56060936353366,39.56060936353366,38.360609363533655,37.846112466817125,39.56060936353366,-0.0,0.0,100.0,0.2486036810358163,0.0,2.0716973419651348,0.05,0,0,optimal,0.010472399997524917,0.0,1
1,0.25,8.086789367860543,0.0,34.18167725836394,0.4814372896169239,0.4,39.56060936353366,39.29113775685419,38.360609363533655,37.58867215055067,39.56060936353366,-0.0,0.0,100.0,0.2486036810358163,0.0,2.0716973419651348,0.05,0,0,optimal,0.009198499988997355,0.0,1
2,0.5,8.086789367860543,0.0,34.01562312711491,0.539428390951942,0.4,39.4666414182873,39.1374060821631,38.266514607051356,38.73949214439039,39.4666414182873,-0.0,0.0,100.0,0.2486036810358163,0.0,2.0716973419651348,0.05,0,0,optimal,0.009458299988182262,0.0,1
3,0.75,8.086789367860543,0.0,33.863158039069674,0.5930288039165351,0.4,39.33475679230186,39.56741762387658,38.134578982183584,38.58848725889928,39.33475679230186,-0.0,0.0,100.0,0.2486036810358163,0.0,2.0716973419651348,0.05,0,0,optimal,0.00924529999610968,0.0,1
4,1.0,7.247177356989776,0.0,33.7249348731421,0.6385857489460374,0.4,39.192040039696806,39.40095522427438,37.99184767993234,38.06497541008561,39.192040039696806,-0.0,0.0,100.0,0.22341532070969322,0.0,1.861794339247445,0.05,0,0,optimal,0.008939100021962076,0.0,1
5,1.25,7.247177356989776,0.0,33.601545522149095,0.6729945955230995,0.4,39.05167626375512,39.07945725660824,37.851487098907214,37.717768724065245,39.05167626375512,-0.0,0.0,100.0,0.22341532070969322,0.0,1.861794339247445,0.05,0,0,optimal,0.008754599984968081,0.0,1
6,1.5,7.247177356989776,0.0,33.4935183582347,0.6939104376168019,0.4,38.920228282625835,38.89960883202286,37.72005114549466,38.6439341207258,38.920228282625835,-0.0,0.0,100.0,0.22341532070969322,0.0,1.861794339247445,0.05,0,0,optimal,0.009097900008782744,0.0,1
7,1.75,7.247177356989776,0.0,33.40131597029943,0.6999078951535225,0.4,38.801085655533875,39.23311942122156,37.60092510852287,37.93388625154864,38.801085655533875,-0.0,0.0,100.0,0.22341532070969322,0.0,1.861794339247445,0.05,0,0,optimal,0.009513099998002872,0.0,1
8,2.0,6.761086192801438,0.0,33.325333183123576,0.6905782513134007,0.4,38.69609879695548,38.82470080606167,37.49595733110205,36.96345050350665,38.69609879695548,-0.0,0.0,100.0,0.20883258578404315,0.0,1.7402715482003588,0.05,0,0,optimal,0.009182799985865131,0.0,1
9,2.25,6.761086192801438,0.0,33.265895366666925,0.6665573059061756,0.4,38.60635272553304,38.36342113611591,37.40623180174214,37.349474012466416,38.60635272553304,0.0,0.0,100.0,0.20883258578404315,0.0,1.7402715482003588,0.05,0,0,optimal,0.015763300005346537,2.42861286636753e-17,2
10,2.5,6.761086192801438,0.0,33.22325704278461,0.6294820466648602,0.4,38.53253303626168,38.546860629275166,37.33243357779296,38.27399986407325,38.53253303626168,0.0,0.0,100.0,0.20883258578404315,0.0,1.7402715482003588,0.05,0,0,optimal,0.015348899993114173,5.551115123125783e-17,2
11,2.75,6.761086192801438,0.0,33.197600795325435,0.5818790912369874,0.4,38.47509868783694,38.903075751790006,37.275021312822716,37.32622919898767,38.47509868783694,0.0,0.0,100.0,0.20883258578404315,0.0,1.7402715482003588,0.05,0,0,optimal,0.015943100006552413,1.3877787807814457e-16,2
12,3.0,8.572880532048881,0.0,33.189036488279854,0.5269925023673632,0.4,38.43436335383541,38.47890613369483,37.234308484753136,37.708549527795576,38.43436335383541,0.0,0.0,100.0,0.2631864159614663,0.0,2.193220133012219,0.05,0,0,optimal,0.01558489998569712,8.326672684688674e-17,2
13,3.25,8.572880532048881,0.0,33.197600795325435,0.46856271038307595,0.4,38.41053358279407,38.660667308601866,37.210501497816985,38.03729431062645,38.41053358279407,0.0,0.0,100.0,0.2631864159614663,0.0,2.193220133012219,0.05,0,0,optimal,0.01573469999129884,1.1102230246251565e-16,2
14,3.5,8.572880532048881,0.0,33.22325704278461,0.4105716090480582,0.4,38.40372664362584,38.77610225597074,37.20371750063666,37.15646943328296,38.41397890395225,0.0,0.0,100.0,0.2631864159614663,0.0,2.193220133012219,0.05,0,0,optimal,0.015471599996089935,1.1102230246251565e-16,2
15,3.75,8.572880532048881,0.0,33.265895366666925,0.3569711960834649,0.4,38.41397890395225,38.39649302789265,37.21399275181767,37.28447416803375,38.44124988492619,0.0,0.0,100.0,0.2631864159614663,0.0,2.193220133012219,0.05,0,0,optimal,0.01551820000167936,5.551115123125783e-17,2
16,4.0,7.4239377803309905,0.9092809080866286,33.325333183123576,0.31141425105396264,0.4,38.44124988492619,38.513535987462504,37.24128666895375,38.18088872813492,38.485424430939865,0.0,0.0,100.0,0.20143970616733087,0.0,1.6786642180610905,0.05,0,0,optimal,0.0153273000032641,0.0,2
17,4.25,7.4239377803309905,0.9092809080866286,33.40131597029943,0.2770054044769005,0.4,38.485424430939865,38.93668773912138,37.28548399579867,37.89509105033538,39.70542304836197,6.811516638848792,6.811516638848791,98.2623682043753,-0.0002656387939915018,0.0,-0.0066409698497875425,0.06757397180131997,0,0,optimal,0.0152026999858208,1.1102230246251565e-16,2
18,4.5,7.4239377803309905,0.9092809080866286,33.4935183582347,0.25608956238319813,0.4,39.70542304836197,39.98264432628135,38.08472769618745,37.83870241800353,40.13281710732727,6.811516638848792,6.811516638848791,96.52473640875061,-0.0002665699878122368,0.0,-0.006664249695305921,0.06755069195580163,0,0,optimal,0.014700300002004951,5.551115123125783e-17,2
19,4.75,7.4239377803309905,0.9092809080866286,33.601545522149095,0.25009210484647754,0.4,40.13281710732727,39.994533693252656,38.51217657552833,37.57590343417533,40.39210036885852,6.811516638848792,6.811516638848791,94.78710461312592,-0.0002668235203726992,0.0,-0.006670588009317482,0.06754435364179004,0,0,optimal,0.015148199978284538,2.220446049250313e-16,2
20,5.0,7.4239377803309905,12.716361356375687,33.7249348731421,0.25942174868659934,0.4,40.39210036885852,39.99559150519334,38.77138521905474,39.09882459817929,40.39210036885852,-5.0210246061453105,-5.0210246061453105,96.01725564163152,-0.00021366423928196592,0.0,-0.005341605982049149,0.06250813649279739,0,0,optimal,0.021214699983829632,1.942890293094024e-16,3
21,5.25,7.4239377803309905,12.716361356375687,33.863158039069674,0.2834426940938245,0.4,40.24781361637756,40.39897522720699,38.747585456394994,38.68389954388542,40.309792456540166,-5.0210246061453105,-5.0210246061453105,97.24740667013712,-0.000213072488695103,0.0,-0.0053268122173775745,0.062522930257469,0,0,optimal,0.021273999998811632,6.96487818903635e-05,3
22,5.5,7.4239377803309905,12.716361356375687,34.01562312711491,0.3205179533351398,0.4,40.309792456540166,40.284628372998334,38.809325339188845,38.75109585370521,40.42085363339298,-5.0210246061453105,-5.0210246061453105,98.47755769864273,-0.00021205635689504565,0.0,-0.005301408922376141,0.06254833355247039,0,0,optimal,0.03252690000226721,3.112603279079029e-05,5
23,5.75,7.4239377803309905,12.716361356375687,34.18167725836394,0.3681209087630125,0.4,40.42085363339298,40.39050485249642,38.91984257655316,38.73101732354304,40.56299078450667,-5.0210246061453105,-5.0210246061453105,99.70770872714833,-0.00021056876895485742,0.0,-0.005264219223871436,0.0625855232509751,0,0,optimal,0.021193799999309704,0.0,3
24,6.0,12.32903952804968,8.142814102268314,34.360609363533655,0.4230074976326369,0.4,40.56299078450667,40.46975165910436,39.06112864430893,38.83879790112954,40.62354346883654,4.449497277061176,4.449497277061176,98.57263289116334,-0.0001902506911898114,0.0,-0.004756267279745284,0.06106169554020715,0,0,optimal,0.032665900012943894,2.220446049250313e-16,5
25,6.25,12.32903952804968,8.142814102268314,34.55165322787958,0.481437289616924,0.4,40.62354346883654,40.51297936363531,39.15819334539442,38.955172853614265,40.77298117400838,4.449497277061176,4.449497277061176,97.43755705517835,-0.0001883674289616935,0.0,-0.004709185724042337,0.06110877709591011,0,0,optimal,0.11968730000080541,6.087435033937105e-05,19
26,6.5,12.32903952804968,8.142814102268314,34.75399077224497,0.5394283909519418,0.4,40.77298117400838,40.66812022942471,39.30657049964006,39.10427424228033,40.95317737773683,4.449497277061177,4.449497277061177,96.30248121919335,-0.00018625771121348088,0.0,-0.004656442780337021,0.06116152003961564,0,0,optimal,0.1219287000130862,7.081147065064741e-05,19
27,6.75,12.32903952804968,8.142814102268314,34.96675555620144,0.5930288039165351,0.4,40.95317737773683,40.85658430343048,39.485542106154405,39.54593741169536,41.15346549832617,4.449497277061176,4.449497277061176,95.16740538320836,-0.00018409457271454155,0.0,-0.00460236431786354,0.0612155985020889,0,0,optimal,0.14635039999848232,3.939670003145351e-05,23
28,7.0,11.533617623014218,7.477817617249737,35.189036488279854,0.6385857489460374,0.4,41.15346549832617,41.149604125612775,39.68455935959791,39.220142904162344,41.34351899349421,4.317190454020655,4.317190454020655,94.06608128779493,-0.0001781278425801691,0.0,-0.004453196064504228,0.06089441599953926,0,0,optimal,0.11289009999018162,3.809909450097626e-05,18
29,7.25,11.533617623014218,7.477817617249737,35.41988172740385,0.6729945955230996,0.4,41.34351899349421,41.15053289294195,39.882319480297866,40.58708330636661,41.56113237008607,4.317190454020655,4.317190454020655,92.9647571923815,-0.00017661379356249124,0.0,-0.00441534483906228,0.06093226722498123,0,0,optimal,0.06385910001699813,4.3406663072606544e-05,10
30,7.5,11.533617623014218,7.477817617249737,35.65830275881949,0.6939104376168019,0.4,41.56113237008607,41.85497548418114,40.09905005175121,39.89868296084608,41.790837537440346,4.317190454020655,4.317190454020655,91.86343309696807,-0.00017565463895277662,0.0,-0.004391365973819415,0.060956246090224084,0,0,optimal,0.03318669999134727,1.6653345369377348e-16,5
31,7.75,11.533617623014218,7.477817617249737,35.9032786270672,0.6999078951535225,0.4,41.790837537440346,41.68286214477128,40.32819645706009,40.31089898990524,42.0287606884011,4.317190454020655,4.317190454020655,90.76210900155463,-0.000175374193582086,0.0,-0.00438435483955215,0.060963257224491356,0,0,optimal,0.020396700012497604,5.551115123125783e-17,4
32,8.0,27.265295300382267,10.436373407740557,36.15376030786977,0.6905782513134009,0.4,42.0287606884011,42.000354813819236,40.56596295545123,40.50574758661548,45.421747626096405,17.274566224351997,17.274566224351993,86.35533190350566,-0.00010843244975862808,0.0,-0.0027108112439657027,0.10870027168360615,0,0,optimal,0.05618489999324083,2.29166242221579e-06,13
33,8.25,27.265295300382267,10.436373407740557,36.40867520021534,0.6665573059061756,0.4,45.421747626096405,45.1521849127432,42.8159811441821,43.52907704468126,46.59784878743586,17.274566224351993,17.274566224351986,81.94855480545668,-0.00012594301365874367,0.0,-0.00314857534146859,0.10826250758610236,0,0,optimal,0.018086500000208616,0.0,4
34,8.5,27.265295300382267,10.436373407740557,36.66693171939964,0.62948204666486,0.4,46.59784878743586,46.67209426754242,44.001145798270414,43.93880035317333,47.25365889875399,17.274566224351993,17.274566224351986,77.5417777074077,-0.00015175308420467987,0.0,-0.003793827105116998,0.10761725582245396,0,0,optimal,0.01446350000333041,1.1102230246251565e-16,3
35,8.75,27.265295300382267,10.436373407740557,36.927423971359275,0.5818790912369876,0.4,47.25365889875399,47.02212455068187,44.67174843502046,44.67153482651988,47.6577803735413,17.274566224351993,17.274566224351986,73.13500060935873,-0.00018272687496111883,0.0,-0.004568171874027971,0.10684291105354295,0,0,optimal,0.014333399973111227,2.220446049250313e-16,3
36,9.0,7.865838838684025,16.62491212546448,37.189036488279854,0.5269925023673632,0.4,47.6577803735413,47.50728971359501,45.09411961797535,45.18612024294338,47.6577803735413,-8.439069715427085,-8.439069715427081,75.20257268963836,-0.00027672554048685787,0.0,-0.006918138512171448,0.07308275432617144,0,0,optimal,0.0459281999792438,6.851460023371558e-05,11
37,9.25,7.865838838684025,16.62491212546448,37.45064900520042,0.4685627103830764,0.4,45.76899946771807,45.7831015768187,44.01355164859669,43.94491509525173,45.76899946771807,-8.439069715427085,-8.439069715427081,77.27014476991799,-0.0002841824924462872,0.0,-0.007104562311157178,0.07289633052718571,0,0,optimal,0.025622199987992644,9.385859442312405e-05,6
