interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,10.119534236284505,0.0,36.736343974670945,0.6927819262070845,0.4,41.93634397467095,41.93634397467095,40.736343974670945,40.221847077954415,41.93634397467095,0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.012401399988448247,0.0,1
1,0.25,10.119534236284505,0.0,36.55741186950123,0.6999931243415964,0.4,41.93634397467095,41.66687236799148,40.736343974670945,39.964406761687954,41.93634397467095,0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.011541999992914498,0.0,1
2,0.5,10.119534236284505,0.0,36.391357738252196,0.6918714128709469,0.4,41.84237602942459,41.51314069330039,40.642249218188645,41.11522675552768,41.84237602942459,0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.011263499996857718,0.0,1
3,0.75,10.119534236284505,0.0,36.238892650206964,0.6689702730100977,0.4,41.71049140343915,41.94315223501387,40.51031359332087,40.96422187003657,41.71049140343915,0.0,0.0,100.0,0.30958602708853517,0.0,2.5798835590711264,0.05,0,0,optimal,0.011236800026381388,0.0,1
4,1.0,7.733268521178114,0.0,36.100669484279386,0.6328503795946425,0.4,41.567774650834096,41.776689835411666,40.36758229106963,40.4407100212229,41.567774650834096,0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.011290299997199327,0.0,1
5,1.25,7.733268521178114,0.0,35.977280133286385,0.5859732436698987,0.4,41.42741087489241,41.455191867745526,40.2272217100445,40.093503335202534,41.42741087489241,0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.019787500001257285,1.8106176280507924e-17,2
6,1.5,7.733268521178114,0.0,35.86925296937199,0.5315334645810076,0.4,41.295962893763125,41.275343443160146,40.09578575663195,41.01966873186309,41.295962893763125,0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.019820199988316745,1.1926223897340549e-17,2
7,1.75,7.733268521178114,0.0,35.77705058143672,0.47324102330688833,0.4,41.176820266671164,41.608854032358856,39.97665971966016,40.30962086268593,41.176820266671164,0.0,0.0,100.0,0.2379980556353435,0.0,1.9833171302945292,0.05,0,0,optimal,0.019778999994741753,2.949029909160572e-17,2
8,2.0,9.589252966260862,0.0,35.701067794260865,0.41506845338755827,0.4,41.07183340809277,41.20043541719896,39.87169194223934,39.33918511464394,41.07183340809277,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.019451600004686043,0.0,2
9,2.25,9.589252966260862,0.0,35.641629977804214,0.3609801193283021,0.4,40.98208733667033,40.73915574725319,39.78196641287943,39.725208623603706,40.98208733667033,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.01958690001629293,2.42861286636753e-17,2
10,2.5,9.589252966260862,0.0,35.5989916539219,0.31466205171006056,0.4,40.90826764739897,40.922595240412456,39.70816818893025,40.64973447521054,40.90826764739897,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.019561900000553578,6.245004513516506e-17,2
11,2.75,9.589252966260862,0.0,35.573335406462725,0.2792707502967906,0.4,40.85083329897423,41.278810362927295,39.650755923960006,39.70196381012496,40.85083329897423,0.0,0.0,100.0,0.29367758898782576,0.0,2.4473132415652152,0.05,0,0,optimal,0.01926820000517182,1.3877787807814457e-16,2
12,3.0,8.528690426213577,0.0,35.56477109941714,0.25721807379291556,0.4,40.8100979649727,40.85464074483212,39.610043095890425,40.084284138932865,41.362424514097555,-3.605270111163359,-3.605270111163358,100.88329117723502,0.371067071890737,0.0,3.092225599089475,0.058735464745241724,0,0,optimal,0.019899999984772876,8.326672684688674e-17,2
13,3.25,8.528690426213577,0.0,35.573335406462725,0.2500068756584035,0.4,41.362424514097555,41.61609825859789,39.953237289476355,40.78047529482587,41.362424514097555,0.0,0.0,100.88329117723502,0.26186071278640727,0.0,2.1821726065533937,0.05,0,0,optimal,0.01986380000016652,1.3877787807814457e-16,2
14,3.5,8.528690426213577,0.0,35.5989916539219,0.25812858712905307,0.4,40.95422301624844,41.3268097580686,39.753953036749024,39.70674713226712,40.95422301624844,0.0,0.0,100.88329117723502,0.26186071278640727,0.0,2.1821726065533937,0.05,0,0,optimal,0.019916799996281043,5.551115123125783e-17,2
15,3.75,8.528690426213577,0.0,35.641629977804214,0.28102972698990225,0.4,40.87257418955468,40.85510802544174,39.67246436569135,39.74294971841264,40.87257418955468,0.0,0.0,100.88329117723502,0.26186071278640727,0.0,2.1821726065533937,0.05,0,0,optimal,0.04312219997518696,2.7755575615628914e-17,5
16,4.0,11.577807728849521,0.9499949785979702,35.701067794260865,0.31714962040535755,0.4,40.8562716451198,40.92855958804737,39.65624979204751,40.59585221875757,42.90392839477944,10.984005305698583,10.984005305698584,98.08124900741396,-0.00033435449941391683,0.0,-0.008358862485347923,0.08068927637641019,0,0,optimal,0.019137499999487773,2.220446049250313e-16,2
17,4.25,11.577807728849521,0.9499949785979702,35.77705058143672,0.3640267563301013,0.4,42.90392839477944,43.3759971252167,40.96916011294244,41.58138366884867,43.580426744186,10.984005305698583,10.984005305698584,95.2792068375929,-0.0003274200079033369,0.0,-0.00818550019758342,0.08086263866417469,0,0,optimal,0.019752199994400144,3.3306690738754696e-16,2
18,4.5,11.577807728849521,0.9499949785979702,35.86925296937199,0.4184665354189924,0.4,43.580426744186,43.85730013412134,41.64062839199099,41.39465111435981,43.962953828917804,10.984005305698583,10.984005305698584,92.47716466777183,-0.00031816895956134024,0.0,-0.007954223989033504,0.08109391487272458,0,0,optimal,0.02735339998616837,1.1102230246251565e-16,3
19,4.75,11.577807728849521,0.9499949785979702,35.977280133286385,0.4767589766931117,0.4,43.962953828917804,43.80668484771917,42.01720742982062,41.07867398461466,44.21720101207142,10.984005305698583,10.984005305698584,89.67512249795077,-0.00030683612191358345,0.0,-0.007670903047839586,0.08137723581391852,0,0,optimal,0.03655699998489581,1.1102230246251565e-16,4
20,5.0,13.124461433085143,6.649964850185791,36.100669484279386,0.5349315466124418,0.4,44.21720101207142,43.782931576336324,42.264480651022744,42.58709200033294,44.21720101207142,6.770777032298639,6.770777032298639,87.94788345909907,-0.0002473036857978772,0.0,-0.00618259214494693,0.06788752020487479,0,0,optimal,0.027678500016918406,0.0,3
21,5.25,13.124461433085143,6.649964850185791,36.238892650206964,0.5890198806716979,0.4,43.509704212602045,43.63500988313242,41.879883235097516,41.812776486513876,43.511518220444295,6.770777032298639,6.770777032298639,86.22064442024738,-0.00024228718739705612,0.0,-0.006057179684926402,0.06801293266489536,0,0,optimal,0.027687499998137355,1.1102230246251565e-16,3
22,5.5,13.124461433085143,6.649964850185791,36.391357738252196,0.6353379482899391,0.4,43.40717889496324,43.349693361432216,41.7747268087049,41.71231285082829,43.44503733703749,6.770777032298639,6.770777032298639,84.49340538139569,-0.00023760759178819986,0.0,-0.005940189794704996,0.06812992255511675,0,0,optimal,0.027983599982690066,0.0,3
23,5.75,13.124461433085143,6.649964850185791,36.55741186950123,0.6707292497032094,0.4,43.44503733703749,43.37609706359568,41.80996670632696,41.6161416164461,43.55527115632009,6.770777032298639,6.770777032298639,82.766166342544,-0.00023379332044665745,0.0,-0.0058448330111664365,0.06822527933865531,0,0,optimal,0.027865299984114245,1.1102230246251565e-16,3
24,6.0,7.247177356989776,19.4884684180955,36.736343974670945,0.6927819262070845,0.4,43.55527115632009,43.419302784107465,41.918010077623435,41.69013057809908,43.55527115632009,-4.472647491515292,-4.47264749151529,83.86196497796524,-0.07523060714805,0.0,-1.8807651787012496,0.06139571369635785,0,0,optimal,0.05074959999183193,3.938530052047251e-05,6
25,6.25,7.247177356989776,19.4884684180955,36.927387839016866,0.6999931243415964,0.4,43.250096784680494,43.119416343854084,41.77640771920782,41.57066305923349,43.250096784680494,0.0,0.0,83.86196497796524,-0.12041291061105719,0.0,-3.0103227652764306,0.05,0,0,optimal,0.026860599988140166,5.551115123125783e-17,3
26,6.5,7.247177356989776,19.4884684180955,37.12972538338226,0.6918714128709469,0.4,42.53118414618798,42.42915943184063,41.330581469614366,41.12854663094134,42.53118414618798,0.0,0.0,83.86196497796524,-0.12041291061105719,0.0,-3.0103227652764306,0.05,0,0,optimal,0.01897800000733696,2.7755575615628914e-17,2
27,6.75,7.247177356989776,19.4884684180955,37.34249016733873,0.6689702730100978,0.4,42.42510135713881,42.33616033160688,41.224959005997775,41.28632592763689,42.486681981790795,0.0,0.0,83.86196497796524,-0.12041291061105719,0.0,-3.0103227652764306,0.05,0,0,optimal,0.019076399999903515,0.0,2
28,7.0,8.351930002872363,34.74267350301148,37.56477109941714,0.6328503795946425,0.4,42.486681981790795,42.49429542506713,41.28676527697069,40.823825952181686,42.63276255686182,0.0,0.0,83.86196497796524,-0.2619074350013912,0.0,-6.5476858750347775,0.05,0,0,optimal,0.019307199981994927,1.1102230246251565e-16,2
29,7.25,8.351930002872363,34.74267350301148,37.79561633854114,0.5859732436698988,0.4,42.63276255686182,42.45388042033129,41.43295958307207,42.139548874544396,42.823411859372825,0.0,0.0,83.86196497796524,-0.2619074350013912,0.0,-6.5476858750347775,0.05,0,0,optimal,0.019243400020059198,5.551115123125783e-17,2
30,7.5,8.351930002872363,34.74267350301148,38.03403736995678,0.5315334645810077,0.4,42.823411859372825,43.13396507489073,41.62366887907217,41.425467192297134,43.03917729797787,0.0,0.0,83.86196497796524,-0.2619074350013912,0.0,-6.5476858750347775,0.05,0,0,optimal,0.019371100002899766,1.1102230246251565e-16,2
31,7.75,8.351930002872363,34.74267350301148,38.27901323820449,0.4732410233068884,0.4,43.03917729797787,42.949619546617164,41.83946813174338,41.82456271284592,43.27029885570806,0.0,0.0,83.86196497796524,-0.2619074350013912,0.0,-6.5476858750347775,0.05,0,0,optimal,0.01926979998825118,0.0,2
32,8.0,9.456682648754951,54.95042383347402,38.52949491900706,0.4150684533875583,0.4,43.27029885570806,43.26087008276544,42.0706103673952,42.01286533609416,43.511597341226775,0.0,0.0,83.86196497796524,-0.45293741184719055,0.0,-11.323435296179765,0.05,0,0,optimal,0.019344700005603954,8.326672684688674e-17,2
33,8.25,9.456682648754951,54.95042383347402,38.78440981135263,0.36098011932830215,0.4,43.511597341226775,43.51766615427165,42.3119225590736,43.059768376949535,43.76005309178732,0.0,0.0,83.86196497796524,-0.45293741184719055,0.0,-11.323435296179765,0.05,0,0,optimal,0.058455999998841435,6.024254068731638e-06,7
34,8.5,9.456682648754951,54.95042383347402,39.04266633053693,0.31466205171006034,0.4,43.76005309178732,44.09700425816958,42.560387950072574,42.532298790239516,44.01366036671596,0.0,0.0,83.86196497796524,-0.45293741184719055,0.0,-11.323435296179765,0.05,0,0,optimal,0.08034480002243072,1.7338018353824092e-05,10
35,8.75,9.456682648754951,54.95042383347402,39.303158582496565,0.2792707502967906,0.4,44.01366036671596,44.00296070668872,42.81400216412015,42.84276031686786,44.270886633233,0.0,0.0,83.86196497796524,-0.45293741184719055,0.0,-11.323435296179765,0.05,0,0,optimal,0.10356839999440126,7.81267136512609e-06,13
36,9.0,8.838021167060703,72.13176158926017,39.56477109941714,0.2572180737929157,0.4,44.270886633233,44.28878249459343,43.07123330520607,43.18542452983707,44.53041868516197,0.0,0.0,83.86196497796524,-0.6309374042219946,0.0,-15.77343510554987,0.05,0,0,optimal,0.09289210001588799,2.5192847970478827e-05,11
37,9.25,8.838021167060703,72.13176158926017,39.82638361633771,0.2500068756584035,0.4,44.53041868516197,44.57935883189056,43.33076846228358,43.267289918001666,48.763707978391096,-19.05446688769066,-19.05446688769066,88.53030936544945,-0.43798345452367204,0.0,-10.9495863630918,0.1102320205354012,0,0,optimal,0.09568399999989197,8.700094996927366e-05,12
38,9.5,8.838021167060703,72.13176158926017,40.08687586829735,0.2581285871290532,0.4,48.763707978391096,48.85591256897122,46.121910809396574,46.55423850479138,51.94524119429179,-24.999999999999996,-24.999999999999996,94.65530936544945,-0.37748744505856463,0.0,-9.437186126464116,0.13624897908574732,0,0,optimal,0.11186450000968762,8.833729066692886e-05,14
