interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,11.577807728849521,0.0,35.19290749550988,0.26330175806089573,0.4,40.39290749550988,40.39290749550988,39.19290749550988,38.61330045131469,40.39290749550988,0.0,0.0,100.0,0.3533342318654856,0.0,2.9444519322123806,0.05,0,0,optimal,0.012564600008772686,0.0,1
1,0.25,11.577807728849521,0.0,35.013975390340164,0.25078908964265545,0.4,40.39290749550988,40.12705839334594,39.19290749550988,39.07993224663461,40.39290749550988,0.0,0.0,100.0,0.3533342318654856,0.0,2.9444519322123806,0.05,0,0,optimal,0.011624899983871728,0.0,1
2,0.5,11.577807728849521,0.0,34.84792125909113,0.25355602423921975,0.4,40.298939550263526,40.2276130281013,39.09881273902758,38.643193762359076,40.298939550263526,0.0,0.0,100.0,0.3533342318654856,0.0,2.9444519322123806,0.05,0,0,optimal,0.011308399989502504,0.0,1
3,0.75,11.577807728849521,0.0,34.69545617104589,0.27141399983040837,0.4,40.167054924278084,39.94952556748047,38.96687711415981,38.703167895656414,40.167054924278084,0.0,0.0,100.0,0.3533342318654856,0.0,2.9444519322123806,0.05,0,0,optimal,0.011306500004138798,0.0,1
4,1.0,8.970591484566613,0.0,34.55723300511832,0.3031460248913821,0.4,40.02433817167302,39.90470173768213,38.82414581190856,38.82635615053481,40.02433817167302,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011355199996614829,0.0,1
5,1.25,8.970591484566613,0.0,34.43384365412531,0.346589614353886,0.4,39.883974395731336,39.877128785524185,38.68378523088343,38.50787638793247,39.883974395731336,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011551500007044524,0.0,1
6,1.5,8.970591484566613,0.0,34.325816490210926,0.3987841593899767,0.4,39.75252641460205,39.66904040494504,38.552349277470874,38.46104409785461,39.75252641460205,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011515599995618686,0.0,1
7,1.75,8.970591484566613,0.0,34.23361410227565,0.45617268801100863,0.4,39.63338378751009,39.56882471394673,38.43322324049909,37.89706831987699,39.63338378751009,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.01158160000341013,0.0,1
8,2.0,10.473055082966932,0.0,34.15763131509979,0.5148442668304862,0.4,39.528396928931706,39.282463937692526,38.32825546307827,38.25025799824244,39.528396928931706,0.0,0.0,100.0,0.320191652489008,0.0,2.668263770741732,0.05,0,0,optimal,0.011271499999566004,0.0,1
9,2.25,10.473055082966932,0.0,34.09819349864315,0.5708005247112307,0.4,39.438650857509266,39.412113066435005,38.23852993371836,38.45420704168112,39.438650857509266,0.0,0.0,100.0,0.320191652489008,0.0,2.668263770741732,0.05,0,0,optimal,0.019378699973458424,6.080720247507047e-05,2
10,2.5,10.473055082966932,0.0,34.055555174760826,0.620228135150757,0.4,39.364831168237906,39.46591026687747,38.164731709769185,38.24876770260564,39.364831168237906,0.0,0.0,100.0,0.320191652489008,0.0,2.668263770741732,0.05,0,0,optimal,0.01960780000081286,3.469446951953614e-17,2
11,2.75,10.473055082966932,0.0,34.02989892730166,0.6597586881806004,0.4,39.307396819813164,39.34776840042977,38.10731944479893,38.15713451686717,39.307396819813164,0.0,0.0,100.0,0.320191652489008,0.0,2.668263770741732,0.05,0,0,optimal,0.019651000009616837,2.7755575615628914e-17,2
12,3.0,9.368302437084344,0.0,34.02133462025607,0.6866982419391042,0.4,39.26666148581163,39.29513604278337,38.06660661672935,38.20267424037692,39.26666148581163,0.0,0.0,100.0,0.2870490731125303,0.0,2.392075609271086,0.05,0,0,optimal,0.019631700008176267,7.632783294297951e-17,2
13,3.25,9.368302437084344,0.0,34.02989892730166,0.6992109103573445,0.4,39.24283171477029,39.321662363517696,38.0427996297932,38.44323519617758,41.09278644230524,9.706326398470596,9.706326398470596,97.52389632692076,-0.0002541788201443585,0.0,-0.006354470503608961,0.07815151984295408,0,0,optimal,0.019439799973042682,0.0,2
14,3.5,9.368302437084344,0.0,34.055555174760826,0.6964439757607803,0.6800920226529747,41.09278644230524,41.26504362751417,39.21873931328285,39.1766780081774,41.66829965151932,9.719749382590194,9.719749382590194,95.04436842319878,-0.0003871584523955651,0.0,-0.009678961309889128,0.07818277506657355,0,0,optimal,0.019990400003734976,1.3877787807814457e-16,2
15,3.75,9.368302437084344,0.0,34.09819349864315,0.6785860001695916,0.7172218217052768,41.66829965151932,41.67246829705122,39.792686572721664,40.13610925319698,41.95687974198482,9.722055106621111,9.722055106621111,92.56425232457094,-0.00041406601067063396,0.0,-0.01035165026676585,0.078086517117426,0,0,optimal,0.027988200017716736,2.220446049250313e-16,3
16,4.0,12.46160984555559,2.2528452349609007,34.15763131509979,0.646853975108618,0.6542323513029501,41.95687974198482,42.11784009999511,40.083194838011636,40.42052576915136,42.31294780498164,10.571846870432806,10.571846870432807,89.86735261272584,-0.0003940055769862787,0.0,-0.009850139424656968,0.08092042553487241,0,0,optimal,0.027740499994251877,1.1102230246251565e-16,3
17,4.25,12.46160984555559,2.2528452349609007,34.23361410227565,0.603410385646114,0.6405914399075517,42.31294780498164,42.45945712331953,40.37124625756143,40.28341190541939,42.47157297461338,10.570993506949119,10.570993506949122,87.17067059564698,-0.0003965200674546808,0.0,-0.009913001686367023,0.08064422240224066,0,0,optimal,0.028559700003825128,0.0,3
18,4.5,12.46160984555559,2.2528452349609007,34.325816490210926,0.5512158406100234,0.620718937075749,42.47157297461338,42.43332884543026,40.536334083450875,40.40406619112064,42.57810247177948,10.569782714431794,10.569782714431794,84.4742974542103,-0.0003967030864129622,0.0,-0.009917577160324055,0.08033694879895235,0,0,optimal,0.02771809999831021,1.1102230246251565e-16,3
19,4.75,12.46160984555559,2.2528452349609007,34.43384365412531,0.49382731198899144,0.5576334215158112,42.57810247177948,42.56892723675821,40.650169067663384,41.774783363791364,42.66817092620507,10.566193472137789,10.566193472137789,81.77883993580781,-0.00037336400922440005,0.0,-0.009334100230610001,0.08002311515516512,0,0,optimal,0.027823400014312938,5.551115123125783e-17,3
20,5.0,11.180096776331789,7.871386965526038,34.55723300511832,0.43515573316951395,0.5005291990176485,42.66817092620507,43.1948496480467,40.74774761927076,41.12038769285223,42.66817092620507,3.5607949206692506,3.560794920669252,80.87047388461667,-0.0001732351746746483,0.0,-0.004330879366866207,0.05869039809900874,0,0,optimal,0.027761200006352738,1.1102230246251565e-16,3
21,5.25,11.180096776331789,7.871386965526038,34.69545617104589,0.3791994752887694,0.4209989924362798,41.372265799119276,41.52435734451021,39.96263471324665,39.56431131239322,41.372265799119276,3.559603529465446,3.5596035294654462,79.96241175975304,-0.0001624859427739775,0.0,-0.004062148569349437,0.0586612810955743,0,0,optimal,0.0268408999836538,8.326672684688674e-17,3
22,5.5,11.180096776331789,7.871386965526038,34.84792125909113,0.32977186484924337,0.36784080888810583,41.068922937027374,40.86725102614941,39.6606451884886,39.15899916429219,41.068922937027374,3.5589222204506306,3.5589222204506314,79.05452343820951,-0.00015654308384755263,0.0,-0.003913577096188815,0.05863952531503112,0,0,optimal,0.02698129997588694,2.7755575615628914e-17,3
23,5.75,11.180096776331789,7.871386965526038,35.013975390340164,0.29024131181939977,0.32635364794077937,41.00415657126616,40.790262301334764,39.596721808108185,39.90954272043928,41.060004625910814,3.5584544424136983,3.5584544424136983,78.14675444779786,-0.00015247268433070832,0.0,-0.0038118171082677094,0.05862434079371915,0,0,optimal,0.034237599989864975,8.326672684688674e-17,4
24,6.0,7.910028944519328,14.304210106318008,35.19290749550988,0.2633017580608959,0.3068329634579541,41.060004625910814,41.163236375156075,39.653096419739825,38.768425666736974,41.060004625910814,0.0,0.0,78.14675444779786,-0.061941811617986814,0.0,-1.5485452904496702,0.05,0,0,optimal,0.026589199987938628,2.7755575615628914e-17,3
25,6.25,7.910028944519328,14.304210106318008,35.38395135985579,0.25078908964265545,0.4,40.611913229557,40.192594907887155,39.41158635775789,38.95781292818622,40.611913229557,0.0,0.0,78.14675444779786,-0.061941811617986814,0.0,-1.5485452904496702,0.05,0,0,optimal,0.06597019999753684,4.823735323214451e-05,8
26,6.5,7.910028944519328,14.304210106318008,35.58628890422119,0.2535560242392198,0.4,40.597074341645985,40.411496293842944,39.39705475525165,39.874328228989114,40.69643296590798,0.0,0.0,78.14675444779786,-0.061941811617986814,0.0,-1.5485452904496702,0.05,0,0,optimal,0.11216259998036548,2.173516782943974e-07,14
27,6.75,7.910028944519328,14.304210106318008,35.799053688177665,0.27141399983040837,0.4,40.69643296590798,40.926423864353936,39.4965670782514,39.83580175928384,40.85542056291683,0.0,0.0,78.14675444779786,-0.061941811617986814,0.0,-1.5485452904496702,0.05,0,0,optimal,0.10494859999744222,4.71625919692964e-06,13
28,7.0,11.798758258026039,34.40338958208363,36.02133462025607,0.30314602489138204,0.4,40.85542056291683,40.98474949596413,39.65563493912149,39.084754504137905,41.047685196551335,0.0,0.0,78.14675444779786,-0.224046313240576,0.0,-5.601157831014398,0.05,0,0,optimal,0.05013749998761341,6.554483625298424e-05,6
29,7.25,11.798758258026039,34.40338958208363,36.252179859380064,0.34658961435388563,0.4,41.047685196551335,40.81729643895018,39.84794437286828,40.48542983351319,43.71197454225056,-12.832169019175264,-12.832169019175268,81.2906358574958,-0.09423772722057298,0.0,-2.3559431805143243,0.08717239570625822,0,0,optimal,0.0800018000009004,7.308698993346852e-05,10
30,7.5,11.798758258026039,34.40338958208363,36.49060089079571,0.39878415938997663,0.3675045589842277,43.71197454225056,44.01644275300152,41.62223424310109,41.84622844227882,47.18383521038504,-22.079964078089603,-22.0799640780896,86.70022705662775,-0.00024237614797345203,0.0,-0.006059403699336302,0.12510740779266122,0,0,optimal,0.08072169998195022,4.060939622463344e-06,10
31,7.75,11.798758258026039,34.40338958208363,36.735576759043425,0.45617268801100896,0.410247787766294,47.18383521038504,47.294471158743924,44.18471700373939,44.08283395285375,48.50256565502877,-21.75323764719218,-21.75323764719218,92.02977028018984,-0.0035271323619664226,0.0,-0.08817830904916055,0.12467011016719277,0,0,optimal,0.06626990000950173,2.40584570762592e-05,8
32,8.0,4.551580901036261,54.638282626220395,36.98605843984599,0.5148442668304861,0.43828399095432113,48.50256565502877,48.42264551734212,45.512272106011956,45.22784050789762,48.50256565502877,0.0,0.0,92.02977028018984,-0.4988670172518414,0.0,-12.471675431296033,0.05,0,0,optimal,0.019487100013066083,0.0,2
33,8.25,4.551580901036261,54.638282626220395,37.24097333219156,0.5708005247112307,0.4,44.33952238669837,44.18368176127821,43.136308285306555,42.508058633662095,44.33952238669837,0.0,0.0,92.02977028018984,-0.4988670172518414,0.0,-12.471675431296033,0.05,0,0,optimal,0.019282500026747584,0.0,2
34,8.5,4.551580901036261,54.638282626220395,37.499229851375866,0.6202281351507567,0.4,43.34096219979445,43.07169931480114,42.139618942817144,42.49170993689566,43.34096219979445,0.0,0.0,92.02977028018984,-0.4988670172518414,0.0,-12.471675431296033,0.05,0,0,optimal,0.019132599991280586,0.0,2
35,8.75,4.551580901036261,54.638282626220395,37.7597221033355,0.6597586881806002,0.4,43.003315525524535,43.18998412860021,41.80286166968453,42.454931635235305,43.003315525524535,0.0,0.0,92.02977028018984,-0.4988670172518414,0.0,-12.471675431296033,0.05,0,0,optimal,0.0189200000022538,2.7755575615628914e-17,2
36,9.0,14.008263549791213,72.1724756597715,38.02133462025607,0.6866982419391043,0.4,42.98020757822736,43.28783403919222,41.78017700311907,42.06730749443052,43.106823356968874,0.0,0.0,92.02977028018984,-0.5796421210998028,0.0,-14.49105302749507,0.05,0,0,optimal,0.0188522000098601,0.0,2
37,9.25,14.008263549791213,72.1724756597715,38.28294713717664,0.6992109103573445,0.4,43.106823356968874,43.226526662995525,41.90699426803114,41.655643478777094,43.304429190270326,0.0,0.0,92.02977028018984,-0.5796421210998028,0.0,-14.49105302749507,0.05,0,0,optimal,0.01937349999207072,5.551115123125783e-17,2
38,9.5,14.008263549791213,72.1724756597715,38.543439389136275,0.6964439757607803,0.4,43.304429190270326,43.207587133574165,42.104695632985774,42.4887881793117,43.53510557770332,0.0,0.0,92.02977028018984,-0.5796421210998028,0.0,-14.49105302749507,0.05,0,0,optimal,0.01912429998628795,0.0,2
39,9.75,14.008263549791213,72.1724756597715,38.80169590832058,0.6785860001695916,0.4,43.53510557770332,43.7394459987313,42.335416521378164,43.05278469250498,43.7802869666597,0.0,0.0,92.02977028018984,-0.5796421210998028,0.0,-14.49105302749507,0.05,0,0,optimal,0.019399100012378767,0.0,2
40,10.0,52.36527541483466,89.24524256086073,39.05661080066615,0.646853975108618,0.4,43.7802869666597,44.08008254750179,42.580617425309164,41.99922609737873,54.85251156222843,-36.051926635201994,-36.051926635201994,100.86249230581433,0.001413555155734336,0.0,0.007067775778671681,0.21407790348469025,0,0,optimal,0.0794127999979537,4.440892098500626e-16,10
41,10.25,52.36527541483466,89.24524256086073,39.307092481468715,0.6034103856461144,0.6337329324098697,54.85251156222843,54.50347878230151,49.72429583844625,49.1718250016118,58.148851439560644,-35.99041269212645,-35.990412692126434,109.6801434153853,-0.00047592006161914843,0.0,-0.011898001540478709,0.21049061193442634,0,0,optimal,0.040919600025517866,2.220446049250313e-16,7
42,10.5,52.36527541483466,89.24524256086073,39.55206834971643,0.5512158406100234,0.5841176034735044,58.148851439560644,57.79112148430034,53.10162786060767,52.603009276822625,59.65586782873925,-36.00575955606902,-36.00575955606904,118.50155450662221,-0.00045898883338300043,0.0,-0.011474720834575014,0.20707717665468636,0,0,optimal,0.013400900003034621,2.220446049250313e-16,2
43,10.75,52.36527541483466,89.24524256086073,39.790489381132076,0.4938273119889919,0.5639074436980458,59.65586782873925,59.4706843317778,54.68815322520923,54.412229385790276,60.30591380513371,-36.01165895991426,-36.01165895991426,127.3244109518012,-0.0005384635303081144,0.0,-0.013461588257702856,0.20361545827024988,0,0,optimal,0.01334179998957552,3.3306690738754696e-16,2
44,11.0,152.89776619015015,92.3530832765598,40.02133462025607,0.43515573316951395,0.5094010722528036,60.30591380513371,60.252683439929875,55.4201287444442,55.73279857016162,73.54075186323361,62.21764173812576,62.21764173812574,111.45256356962626,-0.0008426995039852934,0.0,-0.02106748759963234,0.39717221853421936,0,0,optimal,0.019316599995363504,1.1102230246251565e-16,3
45,11.25,152.89776619015015,92.3530832765598,40.243615552334475,0.37919947528876946,0.42704603366861643,73.54075186323361,73.60291863769052,64.02024016405406,63.99799789784534,73.54075186323361,44.89404919293495,44.894049192934965,100.0,0.833481576912596,0.0,4.167407884562978,0.25474945439912927,0,0,optimal,0.036895800003549084,4.440892098500626e-16,6
46,11.5,152.89776619015015,92.3530832765598,40.45638033629095,0.32977186484924337,0.4172759774182628,68.35849301502435,68.54487312165442,62.24208682265267,62.70325833404966,68.35849301502435,-0.0,0.0,100.0,3.037234145679519,0.0,15.186170728397592,0.05,0,0,optimal,0.043143500020960346,6.660813470460436e-05,7
47,11.75,152.89776619015015,92.3530832765598,40.65871788065635,0.2902413118193998,0.4,54.11338083017254,54.32439091367537,52.900758535242694,52.948699678109676,54.11338083017254,-0.0,0.0,100.0,3.037234145679519,0.0,15.186170728397592,0.05,0,0,optimal,0.025327400013338774,6.66154569706201e-05,4
48,12.0,98.1904151660444,93.77807574445677,40.84976174500226,0.2633017580608959,0.4,49.77240012945252,49.80276205813424,48.566558856102496,48.75716618336691,50.025668741397375,4.6788729955848485,4.678872995584847,98.8064099501059,-0.00020209995008089486,0.0,-0.005052498752022371,0.06158089474728181,0,0,optimal,0.068864200002281,1.1102230246251565e-16,12
49,12.25,98.1904151660444,93.77807574445677,41.028693850171976,0.2507890896426555,0.23921036943233648,48.57848982120683,48.64952468475864,47.09857177238526,46.76287754980407,48.57848982120683,4.6766788173402505,4.6766788173402505,97.61337963955992,-0.00018064839825552485,0.0,-0.0045162099563881225,0.06156863898176657,0,0,optimal,0.07494769999175332,1.1102230246251565e-16,13
50,12.5,98.1904151660444,93.77807574445677,41.19474798142101,0.2535560242392198,0.24689472409854915,47.97523855651713,47.82211649680663,46.496780172878346,46.46490111847845,47.97523855651713,4.6767585270666965,4.676758527066696,96.42032899490005,-0.00018138195517337252,0.0,-0.004534548879334314,0.06157022749043187,0,0,optimal,0.09396289999131113,2.220446049250313e-16,16
51,12.75,98.1904151660444,93.77807574445677,41.34721306946625,0.2714139998304083,0.25138877277789745,47.776789971418786,47.760821858659895,46.298837740003954,46.27241129346104,47.776789971418786,4.676806312976746,4.676806312976745,95.227266159957,-0.0001814855624077802,0.0,-0.004537139060194505,0.06157958378708405,0,0,optimal,0.04833020002115518,2.220446049250313e-16,8
52,13.0,18.073753286639135,82.0659947940275,41.48543623539382,0.30314602489138204,0.2922158111893962,47.76348338205403,47.76671240810459,46.28555547040351,46.621710678125616,47.76348338205403,0.0,0.0,95.227266159957,-0.6379224150738836,0.0,-15.948060376847089,0.05,0,0,optimal,0.0699797999986913,0.0,12
53,13.25,18.073753286639135,82.0659947940275,41.60882558638683,0.3465896143538856,0.4,47.06602257821794,47.229388672745436,45.86545454312454,46.12934562144252,52.71855444563187,-24.999999999999996,-24.999999999999996,101.352266159957,-0.38441227516800847,0.0,-9.610306879200213,0.13775349764688055,0,0,optimal,0.014135200006421655,0.0,2
54,13.5,18.073753286639135,82.0659947940275,41.716852750301214,0.3987841593899766,0.353204292225325,52.71855444563187,52.85186613819007,49.41727141401027,49.53965039213752,54.538969786729325,-24.999999999999996,-24.999999999999996,107.477266159957,-0.38436850766738073,0.0,-9.609212691684519,0.13884768516257284,0,0,optimal,0.015423299977555871,2.220446049250313e-16,2
55,13.75,18.073753286639135,82.0659947940275,41.80905513823649,0.4561726880110089,0.39248866374461416,54.538969786729325,54.61647224444388,51.20904031325718,51.92559256922778,55.52927814476944,-25.000000000000004,-25.000000000000004,113.602266159957,-0.3843133098624358,0.0,-9.60783274656089,0.14022763028620222,0,0,optimal,0.013410700019448996,0.0,2
56,14.0,12.5941801630615,76.61030934550773,41.88503792541235,0.514844266830486,0.4518419353004037,55.52927814476944,55.85530799729658,52.16510374047095,52.3730080125054,59.36745393313322,-33.77451590783322,-33.774515907833226,121.87702255737614,-0.2947788789177623,0.0,-7.369471972944056,0.19093134570919723,0,0,optimal,0.013805199996568263,6.661338147750939e-16,2
57,14.25,12.5941801630615,76.61030934550773,41.94447574186899,0.5708005247112298,0.5139424223234218,59.36745393313322,59.43337243680654,54.78864555594588,54.19012126394697,59.36745393313322,-24.999999999999996,-24.999999999999996,128.00202255737614,-0.3844197519305755,0.0,-9.610493798264384,0.14353849734717355,0,0,optimal,0.014649499993538484,0.0,2
58,14.5,12.5941801630615,76.61030934550773,41.987114065751314,0.6202281351507566,0.5814717945254733,57.52146241184083,57.27874434196376,54.07556985144945,54.20512087065835,57.52146241184083,-12.236642622954545,-12.236642622954546,131.0,-0.5143203628054076,0.0,-12.858009070135184,0.08686256973773175,0,0,optimal,0.014985999994678423,0.0,2
59,14.75,12.5941801630615,76.61030934550773,42.01277031321048,0.6597586881806001,0.6062469919243012,53.46445942307536,53.50011237268134,51.376110555440896,51.028578739703775,56.13409196807265,-25.0,-25.0,137.125,-0.38429660010700395,0.0,-9.607415002675095,0.1466172929364627,0,0,optimal,0.015108099993085489,0.0,2
60,15.0,12.638370268896804,15.607060362680937,42.02133462025607,0.6866982419391041,0.658303233035755,56.13409196807265,55.955796506297126,52.616958830777335,52.2041423864476,56.13409196807265,-2.7265643094084124,-2.7265643094084124,137.79300825580506,-0.0001561754860735917,0.0,-0.003904387151839793,0.05662705894209032,0,0,optimal,0.014625600015278906,0.0,2
