interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,31.242404825559582,0.0,13.827061961545544,0.5744774879297214,0.4,19.027061961545545,19.027061961545545,17.827061961545546,17.247454917350357,19.027061961545545,0.0,0.0,100.0,0.9432721447667874,0.0,7.860601206389897,0.05,0,0,optimal,0.012653899990255013,0.0,1
1,0.25,31.242404825559582,0.0,13.648129856375824,0.5188543507090464,0.4,19.027061961545545,18.761212859381605,17.827061961545546,17.71408671267028,19.027061961545545,0.0,0.0,100.0,0.9432721447667874,0.0,7.860601206389897,0.05,0,0,optimal,0.011516200000187382,0.0,1
2,0.5,31.242404825559582,0.0,13.482075725126794,0.4602426119602912,0.4,18.933094016299187,18.861767494136963,17.732967205063243,17.277348228394732,18.933094016299187,0.0,0.0,100.0,0.9432721447667874,0.0,7.860601206389897,0.05,0,0,optimal,0.011482900008559227,0.0,1
3,0.75,31.242404825559582,0.0,13.329610637081554,0.4026365648187049,0.4,18.801209390313744,18.583680033516128,17.60103158019547,17.337322361692078,18.801209390313744,0.0,0.0,100.0,0.9432721447667874,0.0,7.860601206389897,0.05,0,0,optimal,0.01139489997876808,0.0,1
4,1.0,51.39309308645799,0.0,13.191387471153979,0.34996196619849373,0.4,18.658492637708683,18.5388562037178,17.458300277944222,17.460510616570474,18.658492637708683,0.0,0.0,100.0,1.5477927925937396,0.0,12.898273271614498,0.05,0,0,optimal,0.011320099991280586,0.0,1
5,1.25,51.39309308645799,0.0,13.067998120160981,0.3058085029467336,0.4,18.518128861766996,18.511283251559853,17.317939696919094,17.142030853968127,18.518128861766996,0.0,0.0,100.0,1.5477927925937396,0.0,12.898273271614498,0.05,0,0,optimal,0.011509600008139387,0.0,1
6,1.5,51.39309308645799,0.0,12.959970956246586,0.27318516061698483,0.4,18.38668088063772,18.3031948709807,17.18650374350654,17.095198563890282,18.38668088063772,0.0,0.0,100.0,1.5477927925937396,0.0,12.898273271614498,0.05,0,0,optimal,0.011517700011609122,0.0,1
7,1.75,51.39309308645799,0.0,12.86776856831131,0.25431516607639765,0.4,18.26753825354575,18.2029791799824,17.067377706534753,16.53122278591266,18.26753825354575,0.0,0.0,100.0,1.5477927925937396,0.0,12.898273271614498,0.05,0,0,optimal,0.01141730000381358,0.0,1
8,2.0,31.154024613888975,0.0,12.791785781135461,0.2504844782687721,0.4,18.162551394967362,17.91661840372819,16.96240992911393,16.884412464278103,18.162551394967362,0.0,0.0,100.0,0.9406207384166692,0.0,7.838506153472243,0.05,0,0,optimal,0.011579399986658245,0.0,1
9,2.25,31.154024613888975,0.0,12.732347964678812,0.2619541522376872,0.4,18.072805323544927,18.046267532470672,16.872684399754025,17.088361507716787,18.072805323544927,0.0,0.0,100.0,0.9406207384166692,0.0,7.838506153472243,0.05,0,0,optimal,0.019879500003298745,0.0,2
10,2.5,31.154024613888975,0.0,12.689709640796492,0.287942548656694,0.4,17.998985634273566,18.100064732913133,16.79888617580485,16.882922168641308,17.998985634273566,0.0,0.0,100.0,0.9406207384166692,0.0,7.838506153472243,0.05,0,0,optimal,0.01981789999990724,1.6653345369377348e-16,2
11,2.75,31.154024613888975,0.0,12.66405339333732,0.32667860125769227,0.4,17.941551285848824,17.981922866465435,16.7414739108346,16.79128898290283,23.663818435446508,-24.999999999999996,-24.999999999999996,106.125,1.701105914732923,0.0,14.175882622774367,0.137376469302116,0,0,optimal,0.01998379998258315,0.0,2
12,3.0,28.723568792947283,0.0,12.655489086291734,0.37552251207027865,0.3531195110538324,23.663818435446508,23.72489794481053,20.371689684611386,20.511857705130915,25.451666527930055,-24.999999999999993,-24.999999999999996,112.25,1.628307996693535,0.0,13.569233305779457,0.13834110754263795,0,0,optimal,0.02024929999606684,1.1102230246251565e-16,2
13,3.25,28.723568792947283,0.0,12.66405339333732,0.4311456492909539,0.3558423425491957,25.451666527930055,25.50633276717032,22.133855000502315,22.531395437806992,26.37620520880416,-24.999999999999996,-24.999999999999996,118.375,1.6284594309652147,0.0,13.57049525804345,0.13960305980663335,0,0,optimal,0.020227900007739663,1.1102230246251565e-16,2
14,3.5,28.723568792947283,0.0,12.689709640796492,0.4897573880397088,0.41202676158658413,26.37620520880416,26.525055575165812,23.02693559494698,22.981828935246146,26.91394950139689,-24.999999999999993,-24.999999999999996,124.5,1.628641599048014,0.0,13.57201332540012,0.14112112716329775,0,0,optimal,0.0200370000093244,4.440892098500626e-16,2
15,3.75,28.723568792947283,0.0,12.732347964678812,0.547363435181295,0.5105352339842053,26.91394950139689,26.94632305420278,23.527717604702225,23.87458067999395,27.285046990172845,-25.000000000000007,-25.000000000000004,130.625,1.628843236502754,0.0,13.573693637522952,0.14280143928612876,0,0,optimal,0.020341800001915544,2.220446049250313e-16,2
16,4.0,37.340639430831466,0.0,12.791785781135461,0.6000380338015063,0.5230097863146536,27.285046990172845,27.409259801393468,23.85825819124506,24.191088538111874,27.585426197297494,-25.000000000000004,-25.000000000000004,136.75,1.8875593369667216,0.0,15.729661141389355,0.14450128368148565,0,0,optimal,0.020113599981414154,0.0,2
17,4.25,37.340639430831466,0.0,12.867768568311313,0.6441914970532663,0.5937754986004401,27.585426197297494,27.718852597259193,24.117745376020782,24.028107735952716,27.850549901827648,-25.000000000000004,-25.000000000000004,142.875,1.8877447494864004,0.0,15.731206245719994,0.14604638801212988,0,0,optimal,0.020140600012382492,0.0,2
18,4.5,37.340639430831466,0.0,12.959970956246586,0.6768148393830148,0.6615000484829012,27.850549901827648,27.845576480659915,24.345744114144733,24.21759732162918,28.0872646479368,-24.999999999999993,-24.999999999999996,149.0,1.887890197277925,0.0,15.732418310649367,0.1472584529415047,0,0,optimal,0.020260399993276224,0.0,2
19,4.75,37.340639430831466,0.0,13.067998120160981,0.6956848339236024,0.6832324202888026,28.0872646479368,28.09357017101479,24.5533417534888,25.68004750505627,28.290683849555382,-24.999999999999996,-24.999999999999996,155.125,1.887977606609954,0.0,15.73314672174962,0.1479868640417556,0,0,optimal,0.020578800002112985,0.0,2
20,5.0,27.574626041229394,0.0,13.19138747115398,0.6995155217312279,0.7023867209522594,28.290683849555382,28.83318872524225,24.7392497795413,25.113953294665546,28.45371526886964,-24.999999999999993,-24.999999999999996,161.25,1.5950152428692388,0.0,13.291793690576988,0.14813718026964434,0,0,optimal,0.01986840000608936,0.0,2
21,5.25,27.574626041229394,0.0,13.329610637081554,0.6880458477623128,0.6853587809979937,28.45371526886964,28.57166687915212,24.89863777505477,24.496093196972442,28.57247467182849,-25.000000000000004,-25.000000000000004,167.375,1.594961530160984,0.0,13.291346084674869,0.14768957436752084,0,0,optimal,0.019516700005624443,0.0,2
22,5.5,27.574626041229394,0.0,13.482075725126794,0.6620574513433061,0.6766871813616492,28.57247467182849,28.340992477794433,25.028099291232625,24.52255620963427,28.648904557570155,-25.000000000000004,-25.000000000000004,173.5,1.5948431114693487,0.0,13.290359262244577,0.14670275193722743,0,0,optimal,0.019511899998178706,0.0,2
23,5.75,27.574626041229394,0.0,13.648129856375824,0.6233213987423077,0.6586392344348421,28.648904557570155,28.42505828904367,25.128173222565987,25.439606115772968,29.24340678460559,-26.53061224489796,-26.530612244897952,180.0,1.6415980985298864,0.0,13.679984154415715,0.15367458288387814,0,0,optimal,0.027205899998079985,0.0,3
24,6.0,68.14114319803802,1.0042804059464254,13.827061961545544,0.5744774879297214,0.639913050380862,29.24340678460559,29.388435591656172,25.555794223474074,24.67633137655268,29.24340678460559,25.0,25.0,173.62244897959184,2.1355745267653568,0.0,10.677872633826782,0.14365693580388245,0,0,optimal,0.020155400008661672,0.0,2
25,6.25,68.14114319803802,1.0042804059464254,14.018105825891459,0.5188543507090462,0.5870389362111921,28.880097264801535,28.48971587979606,25.43216257693903,24.982210941748722,28.880097264801535,0.0,0.0,173.62244897959184,3.3668431396045797,0.0,16.834215698022895,0.05,0,0,optimal,0.020418500003870577,0.0,2
26,6.5,68.14114319803802,1.0042804059464254,14.220443370256852,0.46024261196029126,0.4,22.743916548719636,22.560147642774663,21.53865418378983,22.01628894586058,22.743916548719636,0.0,0.0,173.62244897959184,3.3668431396045797,0.0,16.834215698022895,0.05,0,0,optimal,0.01967579999472946,0.0,2
27,6.75,68.14114319803802,1.0042804059464254,14.433208154213325,0.40263656481870497,0.4,20.996075768374205,21.226235576006093,19.793724095716218,20.132992508165565,20.996075768374205,0.0,0.0,173.62244897959184,3.3668431396045797,0.0,16.834215698022895,0.05,0,0,optimal,0.019615500001236796,0.0,2
28,7.0,35.175324244901596,8.875667371472463,14.655489086291734,0.3499619661984938,0.4,20.27924140503822,20.408586108166226,19.07827718347618,18.50739989780128,20.27924140503822,0.0,0.0,173.62244897959184,1.3249828436714566,0.0,6.624914218357282,0.05,0,0,optimal,0.019506700016791,0.0,2
29,7.25,35.175324244901596,8.875667371472463,14.88633432541573,0.3058085029467337,0.4,20.056248160011123,19.82586087477184,18.85594852183088,19.493434276508662,20.071906632715653,0.0,0.0,173.62244897959184,1.3249828436714566,0.0,6.624914218357282,0.05,0,0,optimal,0.01977789998636581,0.0,2
30,7.5,35.175324244901596,8.875667371472463,15.124755356831376,0.2731851606169852,0.4,20.071906632715653,20.36923726014208,18.871928166425217,19.09502475371339,20.204702787538338,0.0,0.0,173.62244897959184,1.3249828436714566,0.0,6.624914218357282,0.05,0,0,optimal,0.019799000001512468,0.0,2
31,7.75,35.175324244901596,8.875667371472463,15.369731225079088,0.25431516607639765,0.4,20.204702787538338,20.301790092688165,19.00488196914508,18.90126356578198,20.396485700729446,0.0,0.0,173.62244897959184,1.3249828436714566,0.0,6.624914218357282,0.05,0,0,optimal,0.019445200014160946,0.0,2
32,8.0,64.56174462537844,19.4884684180955,15.620212905881651,0.25048447826877207,0.4,20.396485700729446,20.337718365759077,19.196744274216012,18.91491204124018,20.619132356515205,0.0,0.0,173.62244897959184,2.2636638103641467,0.0,11.318319051820735,0.05,0,0,optimal,0.019671799993375316,0.0,2
33,8.25,64.56174462537844,19.4884684180955,15.87512779822722,0.2619541522376872,0.4,20.619132356515205,20.464525566310407,19.419432474506284,18.791429221598616,20.858744621072027,0.0,0.0,173.62244897959184,2.2636638103641467,0.0,11.318319051820735,0.05,0,0,optimal,0.019935700023779646,0.0,2
34,8.5,64.56174462537844,19.4884684180955,16.133384317411526,0.287942548656694,0.4,20.858744621072027,20.589596932187238,19.659067578636222,20.0111815775498,21.108158889426104,0.0,0.0,173.62244897959184,2.2636638103641467,0.0,11.318319051820735,0.05,0,0,optimal,0.01964279997628182,0.0,2
35,8.75,64.56174462537844,19.4884684180955,16.393876569371162,0.3266786012576928,0.4,21.108158889426104,21.294838247700905,19.908495044281455,20.56056715766157,21.363397104610556,0.0,0.0,173.62244897959184,2.2636638103641467,0.0,11.318319051820735,0.05,0,0,optimal,0.019411399989621714,0.0,2
36,9.0,37.694160277513895,39.75050417590649,16.655489086291734,0.37552251207027854,0.4,21.363397104610556,21.671024569726608,20.163741101253525,20.450871793095466,21.904952581436397,-1.8303167935877798,-1.83031679358778,174.07087659402083,-8.866208083192773e-05,0.0,-0.002216552020798193,0.0542902241804063,0,0,optimal,0.02759329997934401,0.0,3
37,9.25,37.694160277513895,39.75050417590649,16.917101603212306,0.4311456492909531,0.36901350322747256,21.904952581436397,22.0246088617548,20.602579315837083,20.351222619564926,22.251439359447147,-1.830510328344954,-1.8305103283449535,174.51935162446534,-8.643723540052936e-05,0.0,-0.0021609308850132347,0.054297461626897685,0,0,optimal,0.019275000027846545,0.0,2
38,9.5,37.694160277513895,39.75050417590649,17.177593855171942,0.4897573880397087,0.4290382228835581,22.251439359447147,22.15457687195393,20.948766841488634,21.332856611292343,22.553097707699504,-1.8301213124714368,-1.8301213124714373,174.96773134602086,-9.00400354137909e-05,0.0,-0.0022510008853447727,0.05430464559494542,0,0,optimal,0.019470499973976985,0.0,2
