interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,42.59926202523258,0.0,21.974525918035866,0.6283687210052502,0.4,27.174525918035865,27.174525918035865,25.974525918035866,25.394918873840677,27.174525918035865,-0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.010901299974648282,0.0,1
1,0.25,42.59926202523258,0.0,21.795593812866144,0.6657521867935587,0.4,27.174525918035865,26.908676815871925,25.974525918035866,25.8615506691606,27.174525918035865,-0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.006555200001457706,0.0,1
2,0.5,42.59926202523258,0.0,21.629539681617114,0.6901362062847796,0.4,27.080557972789506,27.009231450627283,25.880431161553563,25.424812184885052,27.080557972789506,-0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.005849999986821786,0.0,1
3,0.75,42.59926202523258,0.0,21.477074593571874,0.6998590488470836,0.4,26.948673346804064,26.731143990006448,25.74849553668579,25.484786318182397,26.948673346804064,-0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.005963200004771352,0.0,1
4,1.0,40.2129963101262,0.0,21.3388514276443,0.6942581188276068,0.4,26.805956594199003,26.68632016020812,25.60576423443454,25.607974573060794,26.805956594199003,-0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.005869000015081838,0.0,1
5,1.25,40.2129963101262,0.0,21.2154620766513,0.673715110351202,0.4,26.665592818257316,26.658747208050173,25.465403653409414,25.289494810458446,26.665592818257316,-0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.0066377000184729695,0.0,1
6,1.5,40.2129963101262,0.0,21.107434912736906,0.6396299954966098,0.4,26.534144837128036,26.45065882747102,25.33396769999686,25.242662520380602,26.534144837128036,-0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.005927599995629862,0.0,1
7,1.75,40.2129963101262,0.0,21.015232524801633,0.5943256185128546,0.4,26.41500221003607,26.35044313647272,25.214841663025073,24.67868674240298,26.41500221003607,-0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.005934699991485104,0.0,1
8,2.0,36.5894076316313,0.0,20.93924973762578,0.5408893978223568,0.4,26.310015351457682,26.064082360218514,25.10987388560425,25.031876420768423,26.310015351457682,-0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.005929700011620298,0.0,1
9,2.25,36.5894076316313,0.0,20.879811921169132,0.4829629235576434,0.4,26.220269280035243,26.193731488960992,25.020148356244345,25.235825464207107,26.220269280035243,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.005919699993683025,0.0,1
10,2.5,36.5894076316313,0.0,20.837173597286814,0.4244937892118301,0.4,26.146449590763886,26.247528689403456,24.94635013229517,25.030386125131628,26.146449590763886,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.006191199994646013,0.0,1
11,2.75,36.5894076316313,0.0,20.81151734982764,0.369466569665771,0.4,26.089015242339144,26.12938682295576,24.88893786732492,24.93875293939315,26.089015242339144,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.006134700000984594,0.0,1
12,3.0,36.235886784948875,0.0,20.802953042782054,0.32163127899474986,0.4,26.04827990833761,26.07675446530936,24.848225039255336,24.984292662902906,29.371087739220002,-16.52489952015045,-16.524899520150452,104.04860038243686,1.5949124439509144,0.0,13.29093703292429,0.10074045664945985,0,0,optimal,0.005949600017629564,0.0,1
13,3.25,36.235886784948875,0.0,20.81151734982764,0.2842478132064414,0.4,29.371087739220002,29.494739535102376,26.956165822319054,27.36223809349903,32.7476737697852,-24.999999999999996,-24.999999999999996,110.17360038243686,1.8534742928136467,0.0,15.445619106780388,0.1366474105431681,0,0,optimal,0.006079200014937669,0.0,1
14,3.5,36.235886784948875,0.0,20.837173597286814,0.2598637937152205,0.4,32.7476737697852,33.07348609508733,29.471531673998555,29.448979112379476,33.93297021685852,-24.999999999999996,-24.999999999999996,116.29860038243686,1.8534295145690507,0.0,15.445245954742086,0.1362742585048644,0,0,optimal,0.0060335000162012875,0.0,1
15,3.75,36.235886784948875,0.0,20.879811921169132,0.2501409511529164,0.4,33.93297021685852,34.10607145032237,30.66399505491761,31.029346521036487,34.51237632295703,-24.999999999999996,-24.999999999999996,122.42360038243686,1.8534127789705892,0.0,15.445106491421571,0.13613479518435367,0,0,optimal,0.00609229999827221,0.0,1
16,4.0,42.64345213106789,0.0,20.93924973762578,0.25574188117239316,0.4,34.51237632295703,34.86936113478798,31.245925492845714,31.608676490088584,34.82516469674699,-24.999999999999996,-24.999999999999996,128.54860038243686,2.045649302127564,0.0,17.04707751772969,0.13621448496271982,0,0,optimal,0.00692200000048615,0.0,1
17,4.25,42.64345213106789,0.0,21.015232524801633,0.27628488964879794,0.4,34.82516469674699,35.157924028426564,31.556435549271352,31.492914343285726,38.43567281737323,-35.00571272474751,-35.00571272474752,137.125,2.3520487575904983,0.0,19.60040631325415,0.18811509930029832,0,0,optimal,0.006203800003277138,0.0,1
18,4.5,42.64345213106789,0.0,21.107434912736906,0.31037000450339025,0.4,38.43567281737323,38.69963312842352,33.92410970893353,33.83069840478898,38.43567281737323,-24.999999999999996,-24.999999999999996,143.25,2.045753676128509,0.0,17.047947301070906,0.137084268303934,0,0,optimal,0.006097500008763745,0.0,1
19,4.75,42.64345213106789,0.0,21.2154620766513,0.35567438148714536,0.4,36.24551161037842,36.3679365194699,32.95417378863608,34.0966995234236,36.26137269675937,-24.999999999999996,-24.999999999999996,149.375,2.045855515828592,0.0,17.048795965238273,0.13793293247130117,0,0,optimal,0.006122099992353469,0.0,1
20,5.0,47.8578846196337,0.0,21.3388514276443,0.4091106021776434,0.4,35.89476610798526,36.48851498391169,32.58387680842264,32.96557787982961,35.92083440670925,-24.999999999999996,-24.999999999999996,155.5,2.2024264173502597,0.0,18.353553477918815,0.13908232301039808,0,0,optimal,0.00611899999785237,0.0,1
21,5.25,47.8578846196337,0.0,21.477074593571874,0.4670370764423566,0.4,35.85958879384524,36.00304054036688,32.52152919778171,32.12243615079197,46.48571185716679,-50.0,-50.0,167.75,2.9716812076044308,0.0,24.764010063370257,0.29953890846183023,0,0,optimal,0.006113600014941767,0.0,1
22,5.5,47.8578846196337,0.0,21.629539681617114,0.5255062107881698,0.4,46.48571185716679,45.8622459458222,39.30594725338239,38.75122902665362,46.48571185716679,-24.999999999999996,-24.999999999999996,173.875,2.2027935677133326,0.0,18.356613064277777,0.14214190936935145,0,0,optimal,0.006092199997510761,0.0,1
23,5.75,47.8578846196337,0.0,21.795593812866144,0.5805334303342289,0.4,39.415107436145554,38.965423473047345,35.99921983986384,36.28052684707678,39.44226385084465,-25.0,-25.0,180.0,2.202998977929119,0.0,18.35832481607599,0.14385366116756454,0,0,optimal,0.006037199986167252,0.0,1
24,6.0,78.39324775182843,0.0,21.974525918035866,0.6283687210052502,0.4,38.03614055581374,37.8029916350904,34.581742603516844,33.653666061340765,38.06835949306575,24.999999999999996,24.999999999999996,173.62244897959184,2.698758403370071,0.0,13.493792016850362,0.14548007889324982,0,0,optimal,0.006238799978746101,0.0,1
25,6.25,78.39324775182843,0.0,22.16556978238178,0.6657521867935587,0.4,37.56439642102739,36.698510186310315,34.07218805165251,33.56073366935171,37.59504709303909,24.999999999999996,24.999999999999996,167.24489795918367,2.6990305336964107,0.0,13.495152668482055,0.14684073052494886,0,0,optimal,0.006245099997613579,0.0,1
26,6.5,78.39324775182843,0.0,22.367907326747172,0.6901362062847796,0.4,37.512600576255586,36.785935335917465,33.98831021640739,34.39551598303963,37.640437890855246,24.999999999999996,24.999999999999996,160.8673469387755,2.699216507497063,0.0,13.496082537485309,0.14777059952820726,0,0,optimal,0.006827500008512288,0.0,1
27,6.75,78.39324775182843,0.0,22.580672110703645,0.6998590488470836,0.4,37.640437890855246,37.26350324981788,34.09408620527648,34.35453966676108,37.82752223400588,24.999999999999996,24.999999999999996,154.48979591836735,2.6992925277128452,0.0,13.496462638564227,0.14815070060711966,0,0,optimal,0.006252499995753169,0.0,1
28,7.0,70.12969796062667,1.0449944764577672,22.802953042782054,0.6942581188276069,0.4,37.82752223400588,37.3212860735434,34.27214545159004,33.618577120423986,38.01434169161217,24.999999999999996,24.999999999999996,148.1122448979592,2.233821392345959,0.0,11.169106961729792,0.1479310906875701,0,0,optimal,0.006609200005186722,0.0,1
29,7.25,70.12969796062667,1.0449944764577672,23.03379828190605,0.673715110351202,0.4,38.01434169161217,37.16070468812133,34.46425438599533,35.02046433341445,38.174650769132626,24.999999999999996,24.999999999999996,141.73469387755102,2.2336633169892193,0.0,11.168316584946098,0.14714071390387432,0,0,optimal,0.006079700018744916,0.0,1
30,7.5,70.12969796062667,1.0449944764577672,23.272219313321695,0.63962999549661,0.4,38.174650769132626,37.90038167159007,34.643515098955575,34.7918811881739,38.30189466630714,24.999999999999996,24.999999999999996,135.35714285714286,2.2334115109461017,0.0,11.167057554730508,0.1458816836882842,0,0,optimal,0.006013500009430572,0.0,1
31,7.75,70.12969796062667,1.0449944764577672,23.517195181569406,0.5943256185128547,0.4,38.30189466630714,37.91168817928642,34.80094622598901,34.63342908633848,38.40152749028162,24.999999999999996,24.999999999999996,128.9795918367347,2.233097053250561,0.0,11.165485266252803,0.14430939521058178,0,0,optimal,0.005955799977527931,0.0,1
32,8.0,46.17866059789217,8.1292427454312,23.76767686237197,0.5408893978223568,0.4,38.40152749028162,37.96200584771285,34.93828684682798,34.60633379817226,38.48566800447625,24.999999999999996,24.999999999999996,122.60204081632654,0.6809915501643549,0.0,3.404957750821773,0.14260328770653022,0,0,optimal,0.005980500020086765,0.0,1
