interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,42.59926202523258,0.0,21.974525918035866,0.6283687210052502,0.4,27.174525918035865,27.03115321205984,25.974525918035866,25.992409962910997,27.174525918035865,0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.00835910000023432,0.0,1
1,0.25,42.59926202523258,0.0,21.795593812866144,0.6657521867935587,0.4,27.174525918035865,27.72969745256209,25.974525918035866,26.032675334959034,27.174525918035865,0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.007519900012994185,0.0,1
2,0.5,42.59926202523258,0.0,21.629539681617114,0.6901362062847796,0.4,27.080557972789506,27.49881336742856,25.880431161553563,25.762736894078287,27.080557972789506,0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.007556800002930686,0.0,1
3,0.75,42.59926202523258,0.0,21.477074593571874,0.6998590488470836,0.4,26.948673346804064,27.65988094537275,25.74849553668579,25.6825364588518,26.948673346804064,0.0,0.0,100.0,1.2839778607569774,0.0,10.699815506308143,0.05,0,0,optimal,0.007663199998205528,0.0,1
4,1.0,40.2129963101262,0.0,21.3388514276443,0.6942581188276068,0.4,26.805956594199003,26.089390032383825,25.60576423443454,25.671618765736845,26.805956594199003,0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.007485199981601909,0.0,1
5,1.25,40.2129963101262,0.0,21.2154620766513,0.673715110351202,0.4,26.665592818257316,26.220644069668694,25.465403653409414,25.25488186506922,26.665592818257316,0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.0075205999892205,0.0,1
6,1.5,40.2129963101262,0.0,21.107434912736906,0.6396299954966098,0.4,26.534144837128036,26.03850569801095,25.33396769999686,25.49169598802279,26.534144837128036,0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.0076114000112283975,0.0,1
7,1.75,40.2129963101262,0.0,21.015232524801633,0.5943256185128546,0.4,26.41500221003607,26.822520440048375,25.214841663025073,25.08885578308731,26.41500221003607,0.0,0.0,100.0,1.212389889303786,0.0,10.103249077531554,0.05,0,0,optimal,0.01048240001546219,0.0,1
8,2.0,36.5894076316313,0.0,20.93924973762578,0.5408893978223568,0.4,26.310015351457682,26.53174077417209,25.10987388560425,25.008030418966293,26.310015351457682,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.007484699977794662,0.0,1
9,2.25,36.5894076316313,0.0,20.879811921169132,0.4829629235576434,0.4,26.220269280035243,25.700414923649404,25.020148356244345,24.89934087956249,26.220269280035243,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.012963499990291893,4.163336342344337e-17,2
10,2.5,36.5894076316313,0.0,20.837173597286814,0.4244937892118301,0.4,26.146449590763886,26.83659185436482,24.94635013229517,25.129217663545845,26.146449590763886,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.013023100007558241,9.71445146547012e-17,2
11,2.75,36.5894076316313,0.0,20.81151734982764,0.369466569665771,0.4,26.089015242339144,26.288443170925454,24.88893786732492,24.89589079475582,26.089015242339144,0.0,0.0,100.0,1.1036822289489392,0.0,9.197351907907828,0.05,0,0,optimal,0.013237099978141487,0.0,2
12,3.0,36.235886784948875,0.0,20.802953042782054,0.32163127899474986,0.4,26.04827990833761,26.854648769644278,24.848225039255336,24.47885439268879,31.781382595319922,-24.999999999999996,-24.999999999999996,106.125,1.85355073609221,0.0,15.446256134101754,0.13728443786453184,0,0,optimal,0.013286500005051494,0.0,2
13,3.25,36.235886784948875,0.0,20.81151734982764,0.2842478132064414,0.30195110947366693,31.781382595319922,31.452999277385064,28.49148015739365,28.563394301990105,33.47877288300768,-25.000000000000007,-25.000000000000004,112.25,1.8534742928136472,0.0,15.445619106780388,0.1366474105431681,0,0,optimal,0.014531400025589392,4.440892098500626e-16,2
14,3.5,36.235886784948875,0.0,20.837173597286814,0.2598637937152205,0.2651289255020716,33.47877288300768,33.68363926219157,30.201539602629435,30.23829070048317,34.27960992286523,-24.999999999999996,-24.999999999999996,118.375,1.8534295145690507,0.0,15.445245954742086,0.1362742585048644,0,0,optimal,0.016980199987301603,8.881784197001252e-16,2
15,3.75,36.235886784948875,0.0,20.879811921169132,0.2501409511529164,0.28064163965971695,34.27960992286523,33.778852965164916,31.01011739207625,30.89214562557389,34.676730353220854,-25.000000000000007,-25.000000000000004,124.5,1.8534127789705896,0.0,15.445106491421571,0.13613479518435367,0,0,optimal,0.02074839998385869,4.440892098500626e-16,2
16,4.0,42.64345213106789,0.0,20.93924973762578,0.25574188117239316,0.22578730228627494,34.676730353220854,33.999098238239014,31.410034220410967,31.532929728930025,34.90309070117141,-24.999999999999996,-24.999999999999996,130.625,2.045649302127564,0.0,17.04707751772969,0.13621448496271982,0,0,optimal,0.020557700016070157,0.0,2
17,4.25,42.64345213106789,0.0,21.015232524801633,0.27628488964879794,0.24947934597132687,34.90309070117141,34.695582626034984,31.63424524709141,31.672373884869153,35.069737533460675,-25.0,-25.0,136.75,2.045686188955375,0.0,17.047384907961455,0.13652187519448195,0,0,optimal,0.020518099976470694,0.0,2
18,4.5,42.64345213106789,0.0,21.107434912736906,0.31037000450339025,0.2935934410784329,35.069737533460675,35.653166789535156,31.793427109304172,31.711356994579972,35.23085533139839,-24.999999999999996,-24.999999999999996,142.875,2.045753676128509,0.0,17.047947301070906,0.137084268303934,0,0,optimal,0.020534300012513995,0.0,2
19,4.75,42.64345213106789,0.0,21.2154620766513,0.35567438148714536,0.31678758540917806,35.23085533139839,35.608863787626454,31.941031910750738,32.007702314627934,35.90453856449468,-26.53061224489796,-26.530612244897952,149.375,2.0926669449933817,0.0,17.43889120827817,0.1453751142867132,0,0,optimal,0.020530199981294572,0.0,2
20,5.0,47.8578846196337,0.0,21.3388514276443,0.4091106021776434,0.3623762685158024,35.90453856449468,35.21968080624473,32.41617751146541,32.424878961708124,35.90453856449468,-24.999999999999993,-24.999999999999996,155.5,2.2024264173502597,0.0,18.353553477918815,0.13908232301039808,0,0,optimal,0.020017600007122383,0.0,2
21,5.25,47.8578846196337,0.0,21.477074593571874,0.4670370764423566,0.39495386144440925,35.78037830393809,34.919611196129445,32.442436931607176,32.70355143540078,35.95922656837859,-25.000000000000007,-25.000000000000004,161.625,2.202597705842866,0.0,18.354980882023884,0.14050972711545762,0,0,optimal,0.019791999977314845,0.0,2
22,5.5,47.8578846196337,0.0,21.629539681617114,0.5255062107881698,0.455678410041693,35.95922656837859,36.149010431520296,32.587188429058436,32.638253485708304,36.21576181714115,-25.000000000000007,-25.000000000000004,167.75,2.2027935677133326,0.0,18.356613064277777,0.14214190936935148,0,0,optimal,0.020147800008999184,2.220446049250313e-16,2
23,5.75,47.8578846196337,0.0,21.795593812866144,0.5805334303342289,0.5220879938797058,36.21576181714115,35.10349915622604,32.80464932806378,32.95904366085141,47.66980507007717,-50.0,-50.0,180.0,2.9732862959494417,0.0,24.77738579957867,0.31291464467025787,0,0,optimal,0.027985000022454187,0.0,3
24,6.0,78.39324775182843,0.0,21.974525918035866,0.6283687210052502,0.5971250819727831,47.66980507007717,48.13638536637229,40.16980712365488,40.20961726762968,47.66980507007717,25.0,25.0,173.62244897959184,2.698758403370071,0.0,13.493792016850362,0.14548007889324982,0,0,optimal,0.020455899997614324,0.0,2
25,6.25,78.39324775182843,0.0,22.16556978238178,0.6657521867935587,0.6409301692867209,40.22740569516367,40.743260699489916,36.731222714638726,36.632847949692106,40.246672176130524,25.000000000000004,25.000000000000004,167.24489795918367,2.6990305336964107,0.0,13.495152668482055,0.146840730524949,0,0,optimal,0.028534900018712506,0.0,3
26,6.5,78.39324775182843,0.0,22.367907326747172,0.6901362062847796,0.6538239887284663,38.775226580288,39.160604977784516,35.24905171803017,35.08933494340267,38.775226580288,14.667588240621642,14.667588240621646,163.50316626514754,3.2057418429896867,0.0,16.02870921494843,0.09729433714673263,0,0,optimal,0.020089900004677474,2.220446049250313e-16,2
27,6.75,78.39324775182843,0.0,22.580672110703645,0.6998590488470836,0.6968585688843991,34.909880715003155,34.98967610786961,32.57119969168524,32.627911383327714,34.909880715003155,0.0,0.0,163.50316626514754,3.929662387591421,0.0,19.64831193795711,0.05,0,0,optimal,0.020394999999552965,2.220446049250313e-16,2
28,7.0,70.12969796062667,1.0449944764577672,22.802953042782054,0.6942581188276069,0.4,30.627909545017335,30.901256200713448,29.423659968508833,29.522432815051243,34.37640634641131,21.2179806755026,21.2179806755026,158.09041609282545,2.418889012451199,0.0,12.094445062255998,0.12776436008942094,0,0,optimal,0.01997200000914745,0.0,2
29,7.25,70.12969796062667,1.0449944764577672,23.03379828190605,0.673715110351202,0.705053004960517,34.37640634641131,34.21139037661792,31.31261995411466,31.044932667557156,34.37640634641131,0.0,0.0,158.09041609282545,3.464235174208447,0.0,17.32117587104222,0.05,0,0,optimal,0.020341299998108298,4.440892098500626e-16,2
30,7.5,70.12969796062667,1.0449944764577672,23.272219313321695,0.63962999549661,0.4,30.269964437201715,30.726705350236916,29.066925405838656,28.931881349769192,30.269964437201715,0.0,0.0,158.09041609282545,3.464235174208447,0.0,17.32117587104222,0.05,0,0,optimal,0.019717799994396046,2.220446049250313e-16,2
31,7.75,70.12969796062667,1.0449944764577672,23.517195181569406,0.5943256185128547,0.4,29.324425136567697,30.33355905765677,28.12315319703669,27.78395489396356,29.324425136567697,0.0,0.0,158.09041609282545,3.464235174208447,0.0,17.32117587104222,0.05,0,0,optimal,0.019639400008600205,0.0,2
32,8.0,46.17866059789217,8.1292427454312,23.76767686237197,0.5408893978223568,0.4,29.004931427347728,28.971017580457552,27.804501973458155,27.856671919796845,35.09290644494007,24.999999999999996,24.999999999999996,151.7128650724173,0.6809915501643549,0.0,3.404957750821773,0.14260328770653022,0,0,optimal,0.01916599998367019,0.0,2
33,8.25,46.17866059789217,8.1292427454312,24.02259175471754,0.48296292355764325,0.5303571266884199,35.09290644494007,35.17125488005495,31.675659609043045,31.743691273905917,35.09290644494007,3.4071643610375735,3.407164361037574,150.84369049051995,1.743774747495593,0.0,8.718873737477963,0.058310364622118666,0,0,optimal,0.019863099994836375,2.220446049250313e-16,2
34,8.5,46.17866059789217,8.1292427454312,24.280848273901846,0.4244937892118301,0.5029436091068269,31.510579499494522,30.821368000258627,30.10900582432996,30.16234583298504,31.510579499494522,0.0,0.0,150.84369049051995,1.9124708926230485,0.0,9.562354463115243,0.05,0,0,optimal,0.019651100010378286,0.0,2
35,8.75,46.17866059789217,8.1292427454312,24.541340525861482,0.36946656966577096,0.4,30.34940790839291,30.50708013711307,29.148111560369916,29.163095927190177,30.34940790839291,0.0,0.0,150.84369049051995,1.9124708926230485,0.0,9.562354463115243,0.05,0,0,optimal,0.019616099976701662,2.220446049250313e-16,2
36,9.0,43.924965200291695,13.734213119159225,24.802953042782054,0.32163127899474986,0.4,30.029462883527103,30.22142327671432,28.829032853355418,28.949590015173396,30.029462883527103,0.0,0.0,150.84369049051995,1.5195376040566235,0.0,7.597688020283116,0.05,0,0,optimal,0.019630199996754527,0.0,2
37,9.25,43.924965200291695,13.734213119159225,25.064565559702626,0.2842478132064414,0.4,30.015337803143865,30.765665673063985,28.815319318564374,28.7455240100331,30.146213463821937,0.0,0.0,150.84369049051995,1.5195376040566235,0.0,7.597688020283116,0.05,0,0,optimal,0.026881300000241026,2.220446049250313e-16,3
38,9.5,43.924965200291695,13.734213119159225,25.325057811662262,0.2598637937152205,0.4,30.146213463821937,30.145552156919535,28.946390107427533,28.88879875277798,30.345250738306223,0.0,0.0,150.84369049051995,1.5195376040566235,0.0,7.597688020283116,0.05,0,0,optimal,0.019114800001261756,4.440892098500626e-16,2
39,9.75,43.924965200291695,13.734213119159225,25.58331433084657,0.2501409511529164,0.4,30.345250738306223,29.70795756505869,29.14551910507669,29.294921251937147,30.575430915234715,0.0,0.0,150.84369049051995,1.5195376040566235,0.0,7.597688020283116,0.05,0,0,optimal,0.019544699985999614,0.0,2
