interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,7.865838838684025,0.0,27.5981897569052,0.6788398170194039,0.4,32.7981897569052,32.797712213344255,31.5981897569052,31.594884459509228,32.7981897569052,0.0,0.0,50.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.012529400002676994,0.0,1
1,0.25,7.865838838684025,0.0,27.41925765173548,0.6965490576310533,0.4,32.7981897569052,32.82042873030329,31.5981897569052,31.740975142173088,32.7981897569052,0.0,0.0,50.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011569399997824803,0.0,1
2,0.5,7.865838838684025,0.0,27.25320352048645,0.6991600960922753,0.4,32.70422181165884,32.752658265871595,31.504095000422897,31.446655422394663,32.70422181165884,0.0,0.0,50.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011226700007682666,0.0,1
3,0.75,7.865838838684025,0.0,27.10073843244121,0.6864949944468823,0.4,32.572337185673405,32.557187418000765,31.372159375555125,31.42289570347182,32.572337185673405,0.0,0.0,50.0,0.24197516516052076,0.0,2.0164597096710066,0.05,0,0,optimal,0.011631000001216307,0.0,1
4,1.0,8.219359685366454,0.0,26.962515266513638,0.6594168584419384,0.4,32.429620433068344,32.442491528909024,31.22942807330388,31.180907549639297,32.429620433068344,0.0,0.0,50.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.011446999997133389,0.0,1
5,1.25,8.219359685366454,0.0,26.839125915520636,0.6197710182974447,0.4,32.28925665712666,32.228067905044455,31.08906749227875,30.815561993952002,32.28925665712666,0.0,0.0,50.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.01166009998996742,0.0,1
6,1.5,8.219359685366454,0.0,26.731098751606243,0.5702592725013997,0.4,32.15780867599737,32.0623818312421,30.9576315388662,31.050614531453554,32.15780867599737,0.0,0.0,50.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.011760199995478615,0.0,1
7,1.75,8.219359685366454,0.0,26.63889636367097,0.5142557647077755,0.4,32.03866604890541,32.06556285568179,30.83850550189441,30.77212493978193,32.03866604890541,0.0,0.0,50.0,0.2525807905609936,0.0,2.104839921341614,0.05,0,0,optimal,0.01131339999847114,0.0,1
8,2.0,9.014781590401917,0.0,26.562913576495117,0.45557704142253475,0.4,31.93367919032702,31.898004588727087,30.73353772447359,30.67364886107741,31.93367919032702,0.0,0.0,50.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.011795600003097206,0.0,1
9,2.25,9.014781590401917,0.0,26.50347576003847,0.39822196066639165,0.4,31.84393311890458,31.790178079574098,30.643812195113682,30.449391640802467,31.84393311890458,0.0,0.0,50.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.01997490000212565,6.686466938998404e-05,2
10,2.5,9.014781590401917,0.0,26.46083743615615,0.3460991764091244,0.4,31.770113429633223,31.737520425216253,30.570013971164506,30.86690410233086,31.770113429633223,0.0,0.0,50.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.019784400006756186,2.0816681711721685e-17,2
11,2.75,9.014781590401917,0.0,26.435181188696976,0.3027607702608931,0.4,31.71267908120848,31.83470842932813,30.512601706194257,30.533684809592557,31.71267908120848,0.0,0.0,50.0,0.2764434477120576,0.0,2.303695397600479,0.05,0,0,optimal,0.020196299999952316,5.551115123125783e-17,2
12,3.0,7.468127886166294,0.0,26.42661688165139,0.27116018298059613,0.4,31.671943747206946,31.644523932620142,30.471888878124673,30.23556723638803,31.671943747206946,0.0,0.0,50.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.019797500019194558,0.0,2
13,3.25,7.468127886166294,0.0,26.435181188696976,0.25345094236894666,0.4,31.648113976165607,31.55902281865443,30.44808189118852,30.484643396898072,31.648113976165607,0.0,0.0,50.0,0.23004383658498875,0.0,1.9170319715415733,0.05,0,0,optimal,0.0201365000102669,0.0,2
