interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,60.58463510020112,0.0,21.348786143208557,0.48624531308590263,0.4,26.548786143208556,26.548786143208556,25.348786143208557,24.834289246492023,26.548786143208556,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.01209869998274371,0.0,1
1,0.25,60.58463510020112,0.0,21.169854038038835,0.5440236457899266,0.4,26.548786143208556,26.2793145365291,25.348786143208557,24.57684893022557,26.548786143208556,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011324899998726323,0.0,1
2,0.5,60.58463510020112,0.0,21.003799906789805,0.5970981311003349,0.4,26.454818197962197,26.125582861838005,25.254691386726254,25.727668924065288,26.454818197962197,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011351299996022135,0.0,1
3,0.75,60.58463510020112,0.0,20.851334818744565,0.6418518305529575,0.4,26.322933571976755,26.55559440355148,25.122755761858482,25.576664038574176,26.322933571976755,0.0,0.0,200.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011035600007744506,0.0,1
4,1.0,35.263704456572206,0.0,20.71311165281699,0.6752348534890832,0.4,26.180216819371694,26.38913200394927,24.980024459607233,25.053152189760503,26.180216819371694,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011373600020306185,0.0,1
5,1.25,35.263704456572206,0.0,20.58972230182399,0.6949722020636689,0.4,26.039853043430007,26.06763403628313,24.839663878582105,24.705945503740136,26.039853043430007,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.01133280000067316,0.0,1
6,1.5,35.263704456572206,0.0,20.481695137909597,0.6997188085888675,0.4,25.908405062300726,25.887785611697748,24.708227925169552,25.632110900400694,25.908405062300726,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.01141440001083538,0.0,1
7,1.75,35.263704456572206,0.0,20.389492749974323,0.6891511996741245,0.4,25.789262435208762,26.221296200896454,24.589101888197764,24.922063031223534,25.789262435208762,0.0,0.0,200.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.011369499989086762,0.0,1
8,2.0,54.0886895424115,0.0,20.31350996279847,0.6639895404031806,0.4,25.684275576630373,25.812877585736565,24.484134110776942,23.951627283181544,25.684275576630373,0.0,0.0,200.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.011198499996680766,0.0,1
9,2.25,54.0886895424115,0.0,20.254072146341823,0.6259485562737424,0.4,25.594529505207934,25.3515979157908,24.394408581417036,24.337650792141307,25.594529505207934,0.0,0.0,200.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.01998230000026524,4.163336342344337e-17,2
10,2.5,54.0886895424115,0.0,20.211433822459504,0.5776206774885325,0.4,25.520709815936577,25.535037408950068,24.32061035746786,25.262176643748145,25.520709815936577,0.0,0.0,200.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.020405299990670756,8.326672684688674e-17,2
11,2.75,54.0886895424115,0.0,20.18577757500033,0.5222993691211671,0.4,25.463275467511835,25.89125253146491,24.26319809249761,24.314405978662567,31.493618872225415,-24.999999999999996,-24.999999999999996,206.125,2.3897063749019174,0.0,19.914219790849312,0.14204740524643533,0,0,optimal,0.015238799998769537,1.1102230246251565e-16,2
12,3.0,33.09838927064233,0.0,20.177213267954745,0.46375468691409744,0.4,31.493618872225415,31.33355330362663,28.089652882251425,28.53816239157162,33.20420348377486,-24.999999999999996,-24.999999999999996,212.25,1.759802534001787,0.0,14.665021116681565,0.14042379902097846,0,0,optimal,0.013295599987031892,1.1102230246251565e-16,2
13,3.25,33.09838927064233,0.0,20.18577757500033,0.4059763542100735,0.4,33.20420348377486,33.34224242724006,29.836386147800177,30.64817961856075,33.944817429852904,-24.999999999999996,-24.999999999999996,218.375,1.7596329348198696,0.0,14.663607790165576,0.13901047250499787,0,0,optimal,0.013441799994325265,0.0,2
14,3.5,33.09838927064233,0.0,20.211433822459504,0.3529018688996651,0.4,33.944817429852904,34.30135862122283,30.609607946590554,30.559843784041217,34.250656248747646,-24.999999999999996,-24.999999999999996,224.5,1.7594969997048902,0.0,14.662474997540757,0.13787767988017463,0,0,optimal,0.01332260001800023,6.661338147750939e-16,2
15,3.75,33.09838927064233,0.0,20.254072146341823,0.30814816944704265,0.4,34.250656248747646,34.2963101029968,30.942039773488926,31.02037411300066,34.37595776950952,-24.999999999999996,-24.999999999999996,230.625,1.7593971522376464,0.0,14.661642935313717,0.13704561765313142,0,0,optimal,0.013351300003705546,2.220446049250313e-16,2
16,4.0,54.39802028325863,0.0,20.31350996279847,0.2747651465109169,0.4,34.37595776950952,34.569958018596594,31.087058255744246,32.04224256900278,38.122804347666275,-35.75788106187451,-35.757881061874514,239.38568086015925,2.727757516390691,0.0,22.7313126365891,0.19233730030580934,0,0,optimal,0.013386900012847036,1.1102230246251565e-15,2
17,4.25,54.39802028325863,0.0,20.389492749974323,0.25502779793633107,0.4,38.122804347666275,38.89504705308493,33.509983421719014,34.160502867738764,45.25103708440849,-50.0,-50.0,251.63568086015925,3.165818637396981,0.0,26.381821978308192,0.28231690749352856,0,0,optimal,0.013462700007949024,2.220446049250313e-16,2
18,4.5,54.39802028325863,0.0,20.481695137909597,0.2502811914111326,0.4,45.25103708440849,46.2254578555488,38.482146797973925,38.32523519827716,47.64774525294103,-50.0,-50.0,263.88568086015925,3.1657862576072096,0.0,26.38155214672675,0.28204707591209477,0,0,optimal,0.01343819999601692,8.881784197001252e-16,2
19,4.75,54.39802028325863,0.0,20.58972230182399,0.26084880032587543,0.4,47.64774525294103,48.245406005031995,40.881849505179076,40.04125161716829,48.884023868645535,-50.0,-50.0,276.13568086015925,3.165859176802283,0.0,26.3821598066857,0.2826547358710379,0,0,optimal,0.013353199989069253,4.440892098500626e-16,2
20,5.0,33.938001281513095,0.0,20.71311165281699,0.2860104595968194,0.4,48.884023868645535,49.186939672385506,42.10195465963651,42.52070442402605,49.63031530242933,-50.0,-50.0,288.38568086015925,2.5522443652158766,0.0,21.26870304346564,0.28420272308736305,0,0,optimal,0.013357299991184846,6.661338147750939e-16,2
21,5.25,33.938001281513095,0.0,20.851334818744565,0.3240514437262576,0.4,49.63031530242933,50.38532817911459,42.81040498533706,42.82585678724546,49.63031530242933,-32.8496420401428,-32.84964204014279,296.43384315999424,2.0249377410419345,0.0,16.874481175349448,0.17757034493547774,0,0,optimal,0.028858999983640388,3.0739762180154173e-07,5
22,5.5,33.938001281513095,0.0,21.003799906789805,0.37237932251146744,0.4,43.00634956183435,43.185054692569814,38.739157296149976,38.70933716187028,48.60216821785884,-50.0,-50.0,308.68384315999424,2.553012034303154,0.0,21.275100285859615,0.2905999654813361,0,0,optimal,0.02959499999997206,9.611776916695902e-05,5
23,5.75,33.938001281513095,0.0,21.169854038038835,0.42770063087883275,0.4,48.60216821785884,48.73584505791905,41.63168547703107,41.464480565743145,76.53602854549392,-90.69107007602868,-90.6910700760287,330.90315532862127,3.8218976400090248,0.0,31.849147000075206,0.6918791606897551,0,0,optimal,0.018820199999026954,4.440892098500626e-16,3
24,6.0,51.12795245144616,0.0,21.348786143208557,0.4862453130859026,0.4,76.53602854549392,75.9039156503504,59.9556885916823,59.66634592731933,76.53602854549392,52.383617422993225,52.38361742299322,317.539987618674,0.0013248484516128478,0.0,0.006624242258064239,0.32054048514482997,0,0,optimal,0.013496100000338629,4.440892098500626e-16,2
25,6.25,51.12795245144616,0.0,21.53983000755447,0.5440236457899266,0.4,60.86169212187699,60.11168826749484,53.159501598415524,52.873714327518734,60.861692121876985,27.979094980840596,27.9790949808406,310.4024633888677,1.18916412289509,0.0,5.94582061447545,0.15860624682405858,0,0,optimal,0.013557300000684336,4.440892098500626e-16,2
26,6.5,51.12795245144616,0.0,21.742167551919863,0.5970981311003349,0.4,47.03337816021484,46.584523499916195,43.213397741563995,42.96494168955212,47.03337816021484,24.999999999999996,24.999999999999996,304.0249123684596,1.3352780823244783,0.0,6.676390411622392,0.1444022987608488,0,0,optimal,0.013489600009052083,4.440892098500626e-16,2
27,6.75,51.12795245144616,0.0,21.954932335876336,0.6418518305529575,0.4,41.470807029640426,41.00341175647978,37.998120866283784,38.0102693505498,41.48980059851351,24.999999999999996,24.999999999999996,297.6473613480514,1.3355899750419695,0.0,6.677949875209847,0.1459617623483051,0,0,optimal,0.01358490000711754,4.440892098500626e-16,2
28,7.0,37.03130868998434,0.5292829166474405,22.177213267954745,0.6752348534890831,0.4,39.20815364312454,38.73538524265375,35.701977044368824,35.176901201286746,39.22829372099055,24.999999999999996,24.999999999999996,291.2698103276432,0.6045409630207815,0.0,3.0227048151039075,0.14719837176968067,0,0,optimal,0.013427300000330433,4.440892098500626e-16,2
29,7.25,37.03130868998434,0.5292829166474405,22.408058507078742,0.6949722020636689,0.4,38.316226261790796,37.57108106933887,34.782225971923516,35.41542547390547,38.33066342066663,24.999999999999996,24.999999999999996,284.892259307235,0.6046930869510774,0.0,3.0234654347553866,0.14795899142115945,0,0,optimal,0.013293600000906736,4.440892098500626e-16,2
30,7.5,37.03130868998434,0.5292829166474405,22.646479538494386,0.6997188085888675,0.4,38.05095535540023,37.740859812337305,34.49955872570584,34.22073370456183,38.055006499472796,24.999999999999996,24.999999999999996,278.5147082868268,0.6047303247292436,0.0,3.0236516236462174,0.14814518031199128,0,0,optimal,0.013179200002923608,4.440892098500626e-16,2
31,7.75,37.03130868998434,0.5292829166474405,22.891455406742097,0.6891511996741245,0.4,38.05426414787395,37.328625843073624,34.49877879672671,34.40105621748674,38.155328869286535,24.999999999999996,24.999999999999996,272.1371572664186,0.6046477664069146,0.0,3.023238832034572,0.1477323887003455,0,0,optimal,0.01370039998437278,4.440892098500626e-16,2
32,8.0,84.49148235710031,3.7185517733691977,23.14193708754466,0.6639895404031806,0.4,38.155328869286535,37.53540725778298,34.609901233338604,34.47248036179571,38.155328869286535,0.0,0.0,272.1371572664186,4.048646529186556,0.0,20.24323264593278,0.05,0,0,optimal,0.019716700015123934,4.440892098500626e-16,2
33,8.25,84.49148235710031,3.7185517733691977,23.39685197989023,0.6259485562737421,0.4,31.893575868309416,31.861911636492113,30.688274954326083,31.4285854267413,31.893575868309416,0.0,0.0,272.1371572664186,4.048646529186556,0.0,20.24323264593278,0.05,0,0,optimal,0.01980479998746887,4.440892098500626e-16,2
34,8.5,84.49148235710031,3.7185517733691977,23.655108499074537,0.5776206774885322,0.4,30.159764525839687,30.493192774512686,28.9574318378945,28.928639146128994,30.159764525839687,0.0,0.0,272.1371572664186,4.048646529186556,0.0,20.24323264593278,0.05,0,0,optimal,0.019824399991193786,4.440892098500626e-16,2
35,8.75,84.49148235710031,3.7185517733691977,23.915600751034173,0.5222993691211669,0.4,29.47350951680783,29.462480942185127,28.272586537078034,28.301279005089384,29.47350951680783,0.0,0.0,272.1371572664186,4.048646529186556,0.0,20.24323264593278,0.05,0,0,optimal,0.01973770000040531,4.440892098500626e-16,2
36,9.0,53.20488742570543,8.807810587286895,24.177213267954745,0.46375468691409727,0.4,29.28511414337669,29.3029792958702,28.084861140194977,28.19904623221935,29.3333613620072,0.0,0.0,272.1371572664186,2.229853841920928,0.0,11.149269209604636,0.05,0,0,optimal,0.01967589999549091,4.440892098500626e-16,2
37,9.25,53.20488742570543,8.807810587286895,24.438825784875316,0.4059763542100734,0.4,29.3333613620072,29.382298641625237,28.133426812126366,28.069947695278188,29.493809915063416,0.0,0.0,272.1371572664186,2.229853841920928,0.0,11.149269209604636,0.05,0,0,optimal,0.020108299999265,4.440892098500626e-16,2
38,9.5,53.20488742570543,8.807810587286895,24.699318036834953,0.3529018688996651,0.4,29.493809915063416,29.483276473543143,28.294026355050573,28.713433701851095,35.502929062918255,24.999999999999996,24.999999999999996,265.75960624601043,0.997429377896962,0.0,4.98714688948481,0.13787767988017463,0,0,optimal,0.02022679999936372,4.440892098500626e-16,2
39,9.75,53.20488742570543,8.807810587286895,24.95757455601926,0.3081481694470426,0.4,35.502929062918255,35.74406193638978,32.19914182249301,31.909803059589258,37.44295925323407,24.999999999999996,24.999999999999996,259.38205522560224,0.9972629654515531,0.0,4.9863148272577655,0.13704561765313142,0,0,optimal,0.020154700003331527,4.440892098500626e-16,2
40,10.0,49.80224927638706,13.19135884567467,25.212489448364828,0.2747651465109167,0.4,37.44295925323407,37.446751607218985,34.156502260000195,34.544930664292636,38.47012531196989,24.999999999999996,24.999999999999996,253.00450420519408,0.6078441858928911,0.0,3.0392209294644554,0.1364983217863578,0,0,optimal,0.020204300002660602,4.440892098500626e-16,2
41,10.25,49.80224927638706,13.19135884567467,25.462971129167393,0.2550277979363311,0.4,38.47012531196989,38.80700989563373,35.19556586167236,35.39963946205486,43.390200082349295,37.47399925227345,37.47399925227346,243.44481051838963,-0.0005662849633095537,0.0,-0.014157124082738837,0.20162008130752707,0,0,optimal,0.019912599993404,4.440892098500626e-16,2
42,10.5,49.80224927638706,13.19135884567467,25.707946997415103,0.2502811914111326,0.4,43.390200082349295,43.84528425677818,38.55585729050049,38.02416221917833,45.10814642591346,37.47399925227345,37.47399925227346,233.88511683158518,-0.0005723477578230264,0.0,-0.014308693945575655,0.20146851144469016,0,0,optimal,0.019919799990020692,8.881784197001252e-16,2
43,10.75,49.80224927638706,13.19135884567467,25.946368028830747,0.2608488003258755,0.4,45.10814642591346,45.24828336134691,40.275219336638386,39.92348045943391,46.07228754813742,37.47399925227345,37.47399925227346,224.32542314478073,-0.0005586943617099328,0.0,-0.013967359042748317,0.20180984634751742,0,0,optimal,0.028170199977466837,4.440892098500626e-16,3
44,11.0,77.02335447093402,17.574907104062447,26.177213267954745,0.2860104595968194,0.4,46.07228754813742,46.291614015477094,41.23013824786904,41.35286116114916,57.637753693077975,61.00678553930105,61.006785539301056,208.76246765006107,-0.0008454656164425778,0.0,-0.021136640411064448,0.3684479026963036,0,0,optimal,0.020313699991675094,8.881784197001252e-16,2
45,11.25,77.02335447093402,17.574907104062447,26.399494200033153,0.3240514437262578,0.4,57.637753693077975,58.52560615922496,48.80523983501617,48.61353247062494,57.637753693077975,34.34887318823939,34.348873188239395,200.0,1.2921693604378874,0.0,6.460846802189436,0.18595325753138686,0,0,optimal,0.020227300003170967,4.440892098500626e-16,2
46,11.5,77.02335447093402,17.574907104062447,26.612258983989626,0.3723793225114673,0.4,49.32427343471074,49.410918416785925,44.856043591589355,44.4851961687454,49.32427343471073,-0.0,0.0,200.0,2.9824223683435784,0.0,14.91211184171789,0.05,0,0,optimal,0.020084000017959625,4.440892098500626e-16,2
47,11.75,77.02335447093402,17.574907104062447,26.81459652835502,0.4277006308788331,0.4,38.58351309393486,38.42428614925154,37.37340681967338,37.56523708364301,38.58351309393486,-0.0,0.0,200.0,2.9824223683435784,0.0,14.91211184171789,0.05,0,0,optimal,0.019682599988300353,4.440892098500626e-16,2
48,12.0,159.8356128062928,31.89268856721757,27.005640392700936,0.4862453130859027,0.4,35.12900735093658,35.221102385769754,33.92435901114237,34.057143686545814,35.12900735093658,-0.0,0.0,200.0,6.40714621195376,0.0,32.03573105976881,0.05,0,0,optimal,0.019720699987374246,4.440892098500626e-16,2
49,12.25,159.8356128062928,31.89268856721757,27.184572497870654,0.5440236457899266,0.4,33.59157637687056,33.623587430900166,32.389507831083115,31.733694694951858,33.59157637687056,-0.0,0.0,200.0,6.40714621195376,0.0,32.03573105976881,0.05,0,0,optimal,0.01944449997972697,4.440892098500626e-16,2
50,12.5,159.8356128062928,31.89268856721757,27.350626629119684,0.5970981311003352,0.4,32.95672914880305,32.669950255284625,31.75587519000295,31.9807357123539,32.95672914880305,-0.0,0.0,200.0,6.40714621195376,0.0,32.03573105976881,0.05,0,0,optimal,0.019443800003500655,4.440892098500626e-16,2
51,12.75,159.8356128062928,31.89268856721757,27.503091717164924,0.6418518305529574,0.4,32.74305696471769,32.862800887788865,31.542769757397416,31.97754008335507,32.74305696471769,-0.0,0.0,200.0,6.40714621195376,0.0,32.03573105976881,0.05,0,0,optimal,0.0191927999840118,4.440892098500626e-16,2
52,13.0,99.91382929362125,40.917640863898285,27.641314883092498,0.6752348534890833,0.4,32.72193312596492,32.943216460878915,31.52190500466837,32.08919403871768,32.78461433685751,0.0,0.0,200.0,2.9598094214861486,0.0,14.79904710743074,0.05,0,0,optimal,0.019002000015461817,4.440892098500626e-16,2
53,13.25,99.91382929362125,40.917640863898285,27.7647042340855,0.6949722020636689,0.4,32.78461433685751,33.05564511773791,31.584698963909112,31.910396528819806,32.87923029203647,0.0,0.0,200.0,2.9598094214861486,0.0,14.79904710743074,0.05,0,0,optimal,0.03622219999670051,8.881784197001252e-16,4
