interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,6.628515875295527,0.0,30.67738655399976,0.2529601318367718,0.4,35.87738655399976,35.87738655399976,34.67738655399976,34.097779509804575,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.00865999999223277,0.0,1
1,0.25,6.628515875295527,0.0,30.498454448830042,0.2511108579905168,0.4,35.87738655399976,35.61153745183582,34.67738655399976,34.564411305124494,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007659199996851385,0.0,1
2,0.5,6.628515875295527,0.0,30.332400317581012,0.26451925917790703,0.4,35.7834186087534,35.71209208659118,34.58329179751746,34.12767282084896,35.7834186087534,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007670899998629466,0.0,1
3,0.75,6.628515875295527,0.0,30.179935229535772,0.2922715750164524,0.4,35.651533982767965,35.43400462597035,34.45135617264969,34.187646954146295,35.651533982767965,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.007542000006651506,0.0,1
4,1.0,8.970591484566613,0.0,30.0417120636082,0.3324765310446265,0.4,35.508817230162904,35.38918079617201,34.30862487039844,34.31083520902469,35.508817230162904,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007654899993212894,0.0,1
5,1.25,8.970591484566613,0.0,29.918322712615197,0.38239422595094064,0.4,35.36845345422121,35.36160784401407,34.16826428937331,33.992355446422344,35.36845345422121,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.0077120999922044575,0.0,1
6,1.5,8.970591484566613,0.0,29.810295548700804,0.43862285132042056,0.4,35.23700547309193,35.15351946343492,34.036828335960756,33.94552315634449,35.23700547309193,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.007795000012265518,0.0,1
7,1.75,8.970591484566613,0.0,29.71809316076553,0.4973305192563332,0.4,35.117862845999966,35.05330377243661,33.91770229898897,33.381547378366875,35.117862845999966,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.00756800000090152,0.0,1
8,2.0,6.937846616142651,0.0,29.642110373589677,0.5545163992078548,0.4,35.01287598742158,34.76694299618241,33.81273452156815,33.73473705673232,35.01287598742158,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.007833000010577962,0.0,1
9,2.25,6.937846616142651,0.0,29.58267255713303,0.6062833679604238,0.4,34.92312991599915,34.896592124924894,33.72300899220824,33.938686100171005,34.92312991599915,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013341599988052621,5.637851296924623e-18,2
10,2.5,6.937846616142651,0.0,29.54003423325071,0.6491035921425135,0.4,34.84931022672779,34.950389325367354,33.64921076825907,33.73324676109552,34.84931022672779,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013381199998548254,3.122502256758253e-17,2
11,2.75,6.937846616142651,0.0,29.514377985791537,0.6800589442398808,0.4,34.791875878303046,34.83224745891966,33.591798503288814,33.64161357535705,34.791875878303046,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.013394700014032423,1.3877787807814457e-17,2
12,3.0,7.954219050354632,0.0,29.50581367874595,0.6970398681632282,0.4,34.75114054430151,34.77961510127325,33.551085675219234,33.687153298866804,34.75114054430151,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013307500019436702,3.8163916471489756e-17,2
13,3.25,7.954219050354632,0.0,29.514377985791537,0.6988891420094832,0.4,34.72731077326017,34.806141422007585,33.52727868828308,33.927714254667464,34.72731077326017,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.01310779998311773,4.85722573273506e-17,2
14,3.5,7.954219050354632,0.0,29.54003423325071,0.685480740822093,0.4,34.72050383409193,34.89997174988321,33.52049469110276,33.4793402070461,34.730756094418346,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013325200008694082,0.0,2
15,3.75,7.954219050354632,0.0,29.58267255713303,0.6577284249835476,0.4,34.730756094418346,34.727300923623964,33.530769942283776,33.873265650902944,34.75802707539229,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.013300599996000528,2.7755575615628914e-17,2
16,4.0,7.68907841534281,0.0,29.642110373589677,0.6175234689553736,0.4,34.75802707539229,34.92745151686795,33.558063859419846,33.896426685048255,36.252415010789576,8.002879359839731,8.002879359839735,97.95844914289803,-0.0002585059149283475,0.0,-0.006462647873208689,0.07198758825102158,0,0,optimal,0.018442699976731092,1.6653345369377348e-16,3
17,4.25,7.68907841534281,0.0,29.71809316076553,0.5676057740490592,0.4,36.252415010789576,36.360887163490304,34.52602094951652,34.43343927408376,36.74194303344179,8.002879359839731,8.002879359839735,95.91689828579607,-0.00026532592917929363,0.0,-0.006633148229482341,0.07181708789474796,0,0,optimal,0.012936400016769767,5.551115123125783e-17,2
18,4.5,7.68907841534281,0.0,29.810295548700804,0.5113771486795797,0.4,36.74194303344179,36.66442929440045,35.018997288084506,34.881624332391375,37.012908142373824,8.002879359839731,8.002879359839735,93.8753474286941,-0.0002723201136535981,0.0,-0.00680800284133995,0.07164223328289034,0,0,optimal,0.018261499993968755,2.7755575615628914e-17,3
19,4.75,7.68907841534281,0.0,29.918322712615197,0.45266948074366664,0.4,37.012908142373824,36.98013913664774,35.29386495824438,36.415333311246805,37.189390142912046,8.002879359839731,8.002879359839735,91.83379657159213,-0.0002788447740967605,0.0,-0.006971119352419009,0.07147911677181129,0,0,optimal,0.029862499999580905,1.1102230246251565e-16,5
20,5.0,35.57303519741933,2.0899889529155344,30.0417120636082,0.39548360079214523,0.4,37.189390142912046,37.70407287394252,35.4741342650208,35.84515564710307,39.516598543463665,-17.295969674871593,-17.2959696748716,96.07130914193567,1.5359084648158827,0.0,12.799237206799015,0.10448322695517166,0,0,optimal,0.013246799993794411,5.551115123125783e-17,2
21,5.25,35.57303519741933,2.0899889529155344,30.179935229535772,0.34371663203957625,0.4,39.516598543463665,39.671489781763945,37.01107775142985,36.61304982612753,39.516598543463665,0.0,0.0,96.07130914193567,1.0104913873351138,0.0,8.420761561125946,0.05,0,0,optimal,0.01859269998385571,5.551115123125783e-17,3
22,5.5,35.57303519741933,2.0899889529155344,30.332400317581012,0.30089640785748656,0.4,36.727364298594864,36.52614559136769,35.52535322538763,35.02377463330102,37.59590111272593,-8.508704660299228,-8.508704660299228,98.15594178370898,1.2684762229383462,0.0,10.570635191152885,0.07269746495212757,0,0,optimal,0.013807300012558699,1.1102230246251565e-16,2
23,5.75,35.57303519741933,2.0899889529155344,30.498454448830042,0.26994105576011923,0.4,37.59590111272593,37.39671652344336,35.851605287234506,36.166278438705845,46.962396105627874,-38.9727062183362,-38.972706218336214,107.70425480720135,2.198994770493311,0.0,18.3249564207776,0.21101830506760028,0,0,optimal,0.18235239997738972,6.816504657392031e-07,22
24,6.0,14.58273492565016,5.835683439958959,30.67738655399976,0.25296013183677174,0.4,46.962396105627874,47.45024289594221,41.906138756100034,41.069902115727196,46.962396105627874,9.076113824272353,9.076113824272353,105.3889196479482,-0.00031600858524005786,0.0,-0.007900214631001448,0.07436537001428677,0,0,optimal,0.29316249999101274,6.919611278827231e-07,35
25,6.25,14.58273492565016,5.835683439958959,30.868430418345675,0.2511108579905168,0.4,40.92605472470174,40.55265931872678,39.13753263392788,38.69123278393158,40.92605472470174,9.076113824272353,9.076113824272353,103.07358448869505,-0.00031614680346268343,0.0,-0.007903670086567088,0.07436191455872111,0,0,optimal,0.2096220999956131,2.4628151365502227e-07,25
26,6.5,14.58273492565016,5.835683439958959,31.07076796271107,0.26451925917790703,0.4,39.70377869076718,39.544891511646476,37.91744841155876,38.39833831742228,39.70377869076718,9.076113824272353,9.076113824272353,100.7582493294419,-0.00031512165292368503,0.0,-0.007878041323092125,0.07438754332219609,0,0,optimal,0.31088140001520514,7.431611123154269e-07,38
27,6.75,14.58273492565016,5.835683439958959,31.283532746667543,0.2922715750164524,0.4,39.232378357686876,39.485604063281656,37.44644253776513,37.78872569270078,39.232736954064926,9.076113824272353,9.076113824272353,98.44291417018874,-0.0003128304493426121,0.0,-0.007820761233565302,0.0744448234117229,0,0,optimal,0.26991659999475814,3.5769076359160046e-07,44
28,7.0,7.468127886166294,9.092809080866285,31.50581367874595,0.33247653104462643,0.4,39.12423836546442,39.27284082370303,37.33741567335637,36.76906580454332,39.12423836546442,-1.4047062715189913,-1.404706271518991,98.7870672067109,-6.938129411784819e-05,0.0,-0.001734532352946204,0.05325919844230375,0,0,optimal,0.03385750000597909,2.220446049250313e-16,6
