interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,6.628515875295527,0.0,30.67738655399976,0.2529601318367718,0.4,35.87738655399976,35.87690901043882,34.67738655399976,34.674081256603806,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.013010599999688566,0.0,1
1,0.25,6.628515875295527,0.0,30.498454448830042,0.2511108579905168,0.4,35.87738655399976,35.89962552739786,34.67738655399976,34.82017193926765,35.87738655399976,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.012051900004735216,0.0,1
2,0.5,6.628515875295527,0.0,30.332400317581012,0.26451925917790703,0.4,35.7834186087534,35.831855062966156,34.58329179751746,34.52585221948923,35.7834186087534,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.011638900003163144,0.0,1
3,0.75,6.628515875295527,0.0,30.179935229535772,0.2922715750164524,0.4,35.651533982767965,35.636384215095326,34.45135617264969,34.50209250056638,35.651533982767965,0.0,0.0,100.0,0.20485547625886588,0.0,1.7071289688238818,0.05,0,0,optimal,0.011656500020762905,0.0,1
4,1.0,8.970591484566613,0.0,30.0417120636082,0.3324765310446265,0.4,35.508817230162904,35.52168832600358,34.30862487039844,34.26010434673386,35.508817230162904,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.01189290001639165,0.0,1
5,1.25,8.970591484566613,0.0,29.918322712615197,0.38239422595094064,0.4,35.36845345422121,35.307264702139015,34.16826428937331,33.894758791046556,35.36845345422121,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011720000009518117,0.0,1
6,1.5,8.970591484566613,0.0,29.810295548700804,0.43862285132042056,0.4,35.23700547309193,35.14157862833665,34.036828335960756,34.129811328548115,35.23700547309193,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011838300008093938,0.0,1
7,1.75,8.970591484566613,0.0,29.71809316076553,0.4973305192563332,0.4,35.117862845999966,35.14475965277636,33.91770229898897,33.85132173687648,35.117862845999966,0.0,0.0,100.0,0.27511774453699844,0.0,2.292647871141653,0.05,0,0,optimal,0.011485900002298877,0.0,1
8,2.0,6.937846616142651,0.0,29.642110373589677,0.5545163992078548,0.4,35.01287598742158,34.977201385821644,33.81273452156815,33.752845658171985,35.01287598742158,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.011956200003623962,0.0,1
9,2.25,6.937846616142651,0.0,29.58267255713303,0.6062833679604238,0.4,34.92312991599915,34.869374876668665,33.72300899220824,33.52858843789703,34.92312991599915,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.021838299988303334,5.637851296924623e-18,2
10,2.5,6.937846616142651,0.0,29.54003423325071,0.6491035921425135,0.4,34.84931022672779,34.816717222310814,33.64921076825907,33.94610089942542,34.84931022672779,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.01835999998729676,3.122502256758253e-17,2
11,2.75,6.937846616142651,0.0,29.514377985791537,0.6800589442398808,0.4,34.791875878303046,34.913905226422685,33.591798503288814,33.61288160668712,34.791875878303046,0.0,0.0,100.0,0.21413539848427954,0.0,1.7844616540356628,0.05,0,0,optimal,0.021157000010134652,1.3877787807814457e-17,2
12,3.0,7.954219050354632,0.0,29.50581367874595,0.6970398681632282,0.4,34.75114054430151,34.72372072971471,33.551085675219234,33.31476403348258,34.75114054430151,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.018762100022286177,3.8163916471489756e-17,2
13,3.25,7.954219050354632,0.0,29.514377985791537,0.6988891420094832,0.4,34.72731077326017,34.63821961574898,33.52727868828308,33.563840193992625,34.72731077326017,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.022150600008899346,4.06368945761286e-06,3
14,3.5,7.954219050354632,0.0,29.54003423325071,0.685480740822093,0.4,34.72050383409193,34.744970490695245,33.52049469110276,33.5859874036321,34.730756094418346,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.027452999987872317,5.821676796531616e-06,3
15,3.75,7.954219050354632,0.0,29.58267255713303,0.6577284249835476,0.4,34.730756094418346,34.726884220782416,33.530769942283776,33.33347169055909,34.75802707539229,0.0,0.0,100.0,0.24462657151063905,0.0,2.0385547625886575,0.05,0,0,optimal,0.01996190001955256,2.8204378624274717e-08,3
16,4.0,7.68907841534281,0.0,29.642110373589677,0.6175234689553736,0.4,34.75802707539229,34.683031047300645,33.558063859419846,33.584304342485666,36.252415010789576,8.002879359839731,8.002879359839735,97.95844914289803,-0.0002585059149283475,0.0,-0.006462647873208689,0.07198758825102158,0,0,optimal,0.01929039999959059,5.998246836502741e-06,3
17,4.25,7.68907841534281,0.0,29.71809316076553,0.5676057740490592,0.6112609337543073,36.252415010789576,36.261781323428636,34.52602094951652,34.52818440498346,36.74359334378396,8.01069176859007,8.010691768590068,95.91490532438016,-0.0003424491613725333,0.0,-0.008561229034313333,0.07184210927750145,0,0,optimal,0.02593549998709932,1.4867078401703537e-09,4
18,4.5,7.68907841534281,0.0,29.810295548700804,0.5113771486795797,0.5849143254786942,36.74359334378396,36.749282753500445,35.020048505996385,35.029046480289026,37.01479615174388,8.009538359743779,8.009538359743775,93.87165574281286,-0.000338068684217675,0.0,-0.008451717105441875,0.07166326899480026,0,0,optimal,0.020305799989728257,1.0726271834154977e-05,3
19,4.75,7.68907841534281,0.0,29.918322712615197,0.45266948074366664,0.5177947295853675,37.01479615174388,37.0385508973088,35.295248557845674,35.41964270226341,37.11385989556359,7.629968096398394,7.629968096398397,91.92523531005817,0.010212186754300094,0.0,0.08510155628583413,0.07032397654973009,0,0,optimal,0.03201919997809455,1.7415942913372173e-05,5
20,5.0,35.57303519741933,2.0899889529155344,30.0417120636082,0.39548360079214523,0.4593713677723237,37.11385989556359,37.148579162743204,35.42626080986193,35.32095755855525,41.755480137080085,-25.0,-25.0,98.05023531005817,1.7711442619000364,0.0,14.75953551583364,0.1387739547076865,0,0,optimal,0.055687000014586374,1.3002182178145638e-09,9
21,5.25,35.57303519741933,2.0899889529155344,30.179935229535772,0.34371663203957625,0.3813268600589111,41.755480137080085,41.71463636348178,38.42896298976458,38.55766820033126,41.755480137080085,-0.9140077101982204,-0.9140077101982201,98.27416719905673,1.0381634448972719,0.0,8.651362040810598,0.05209855213509665,0,0,optimal,0.05090750000090338,6.258382336271628e-05,8
22,5.5,35.57303519741933,2.0899889529155344,30.332400317581012,0.30089640785748656,0.4,37.54098773897883,37.60320351775324,36.28772280319973,36.35756645262557,38.654010670881924,-11.760843280726984,-11.760843280726986,101.15557380283485,1.367306652187217,0.0,11.39422210156014,0.0832497202524444,0,0,optimal,0.045120099995983765,1.5364080008239966e-09,7
23,5.75,35.57303519741933,2.0899889529155344,30.498454448830042,0.26994105576011923,0.29747819094902256,38.654010670881924,38.67735707768547,36.65651941176593,36.63043370745777,74.39015189422312,-87.92465656194322,-87.92465656194325,122.69711466051095,3.716758722256977,0.0,30.972989352141482,0.621063650529721,0,0,optimal,0.17780360000324436,1.2018066622598855e-05,27
24,6.0,14.58273492565016,5.835683439958959,30.67738655399976,0.25296013183677174,0.28653270739867354,74.39015189422312,74.58356807799495,59.51551796551156,59.5978823744776,74.39015189422312,9.072887485545678,9.072887485545678,120.38260254685133,-0.0002841477114835538,0.0,-0.007103692787088847,0.07435530717653065,0,0,optimal,0.10540760000003502,3.1073108169854535e-07,15
25,6.25,14.58273492565016,5.835683439958959,30.868430418345675,0.2511108579905168,0.2655215801182424,49.310261816548106,49.34180463276348,47.509466023030186,47.48813060875538,49.310261816548106,9.072407274902453,9.07240727490245,118.06821293590683,-0.0002795436174042698,0.0,-0.006988590435106745,0.07435035686770644,0,0,optimal,0.07969690000754781,1.8707860477418237e-06,9
26,6.5,14.58273492565016,5.835683439958959,31.07076796271107,0.26451925917790703,0.23918265992542434,43.6783761101946,43.6544743251468,41.88638923071521,41.793887436644376,43.6783761101946,9.071856991732371,9.071856991732373,115.75396370332204,-0.000273085227374612,0.0,-0.006827130684365301,0.07437424582592753,0,0,optimal,0.10689619998447597,1.5282841554997706e-05,12
27,6.75,14.58273492565016,5.835683439958959,31.283532746667543,0.2922715750164524,0.27124162177752653,41.11612741693502,41.09119324696321,39.32769712799836,39.40203075754832,41.11612741693502,9.072534380789186,9.07253438078919,113.43954166740643,-0.0002774850847526168,0.0,-0.006937127118815417,0.07443359665568107,0,0,optimal,0.15142999999807216,1.338871013217835e-05,18
28,7.0,7.468127886166294,9.092809080866285,31.50581367874595,0.33247653104462643,0.29959685025326044,40.01679913596809,40.06801519452587,38.228911973009694,38.363396813279515,40.01679913596809,-1.4051441931717574,-1.4051441931717576,113.78380199473351,-6.496020491624149e-05,0.0,-0.0016240051229060373,0.05326024525915238,0,0,optimal,0.07792090001748875,4.32386682291952e-07,13
29,7.25,7.468127886166294,9.092809080866285,31.736658917869946,0.38239422595094075,0.3432714171775366,38.21527389085279,38.224125540488764,36.935281159854846,36.63985161192814,38.21527389085279,-1.404969114562328,-1.4049691145623275,114.12801942780128,-6.660094065312148e-05,0.0,-0.0016650235163280375,0.05326299651808774,0,0,optimal,0.06643939999048598,4.4005824944459704e-05,11
30,7.5,7.468127886166294,9.092809080866285,31.975079949285593,0.4386228513204203,0.4033091705812828,37.72121642135029,37.59648906116057,36.4422400234911,36.39941290331023,37.72121642135029,-1.4046897038037243,-1.4046897038037247,114.47216840523319,-6.925785301794662e-05,0.0,-0.0017314463254486654,0.05326642639861801,0,0,optimal,0.07926009999937378,7.699611471706502e-05,13
31,7.75,7.468127886166294,9.092809080866285,32.22005581753331,0.4973305192563333,0.45008647969673765,37.61253361381857,37.56920742920066,36.33399349280071,36.1639348277481,37.690066540025015,-1.4044409530724677,-1.4044409530724677,114.81625643873595,-7.157416059120403e-05,0.0,-0.0017893540147801007,0.05327070639210073,0,0,optimal,0.06586579998838715,6.90925420151478e-05,11
32,8.0,40.301376521796804,16.082057851979922,32.47053749833587,0.5545163992078543,0.4794418221996455,37.690066540025015,37.63079654282985,36.41167427649619,36.470580960827824,43.70287775372295,24.779473199119465,24.779473199119472,108.4949622552871,0.00036847989637848756,0.0,0.0018423994818924374,0.14188103180753814,0,0,optimal,0.06383919998188503,1.1102230246251565e-16,11
33,8.25,40.301376521796804,16.082057851979922,32.72545239068144,0.6062833679604237,0.5439841280739175,43.70287775372295,43.719231987221484,40.30299158862786,40.38101088975551,45.801647537929185,24.786949642127688,24.786949642127688,102.17176081596882,0.0003346587236841336,0.0,0.0016732936184206681,0.14358103669612204,0,0,optimal,0.08348589998786338,0.0,11
34,8.5,40.301376521796804,16.082057851979922,32.98370890986575,0.6491035921425137,0.6262640535096073,45.801647537929185,45.86353654509331,42.358473133140436,42.29354322356104,47.01532674371216,24.7978562087765,24.7978562087765,95.84577708924013,9.84017288597483e-05,0.0,0.0004920086442987415,0.1451263933842035,0,0,optimal,0.053836399980355054,5.551115123125783e-17,9
35,8.75,40.301376521796804,16.082057851979922,33.24420116182538,0.6800589442398808,0.6658699251505483,47.01532674371216,47.03140117491377,43.533877659482336,43.5706933132807,47.78755105573401,24.803656849214523,24.803656849214523,89.51831360729764,4.247838723317465e-05,0.0,0.00021239193616587326,0.146296936785576,0,0,optimal,0.07141559998854063,0.0,10
36,9.0,17.676042334121405,25.297009144380233,33.50581367874595,0.6970398681632283,0.6859679079061534,47.78755105573401,47.83762056475141,44.27742685129499,44.42136791491295,47.78755105573401,-7.306852164454258,-7.306852164454257,91.30849238758894,-0.0003407349687477267,0.0,-0.00851837421869317,0.07001028723244929,0,0,optimal,0.08079770000767894,0.0,9
37,9.25,17.676042334121405,25.297009144380233,33.76742619566652,0.6988891420094832,0.6905308593204222,43.24651200842698,43.30908255789201,41.562594054898405,41.602707524165346,43.24651200842698,-7.306648824720307,-7.306648824720309,93.09862134964541,-0.0003425465445282472,0.0,-0.00856366361320618,0.07001583277142408,0,0,optimal,0.0807286000053864,0.0,9
38,9.5,17.676042334121405,25.297009144380233,34.027918447626156,0.685480740822093,0.6967817156020881,42.09083371746791,42.097876666579744,40.40889887548139,40.351804612618096,42.09083371746791,0.0,0.0,93.09862134964541,-0.0742096681025883,0.0,-1.8552417025647072,0.05,0,0,optimal,0.054723599983844906,5.551115123125783e-17,6
39,9.75,17.676042334121405,25.297009144380233,34.286174966810464,0.6577284249835479,0.4,40.359643925306756,40.34448187761256,39.15795479536414,39.20824901868103,40.359643925306756,0.0,0.0,93.09862134964541,-0.0742096681025883,0.0,-1.8552417025647072,0.05,0,0,optimal,0.020241099991835654,0.0,2
40,10.0,55.19344218829409,38.488367990054904,34.54108985915603,0.6175234689553736,0.4,39.90013508744049,39.9469076316893,38.69951724110885,38.874047463108134,43.566939967658605,17.148932011441893,17.1489320114419,88.72389379570615,-0.00016395813948206773,0.0,-0.004098953487051693,0.10686549981362446,0,0,optimal,0.10217309999279678,0.0,11
41,10.25,55.19344218829409,38.488367990054904,34.791571539958596,0.5676057740490601,0.6044024262566253,43.566939967658605,43.65906639631015,41.00528460846505,41.23295274114949,44.749490506521205,17.16501884599695,17.165018845996943,84.34506245744161,-0.0003533809930697691,0.0,-0.008834524826744225,0.10615163711269632,0,0,optimal,0.04717879998497665,0.0,5
42,10.5,55.19344218829409,38.488367990054904,35.03654740820631,0.5113771486795797,0.5483129918764501,44.749490506521205,44.79688758549629,42.20346590723129,42.027071509415215,45.39259070796256,17.159949418886164,17.15994941888616,79.96752434037882,-0.00033571417067997046,0.0,-0.008392854266999261,0.10532595089474463,0,0,optimal,0.08509350000531413,0.0,9
43,10.75,55.19344218829409,38.488367990054904,35.27496843962196,0.45266948074366675,0.5240687517676021,45.39259070796256,45.31709976069162,42.86566020163394,42.7653485876731,45.78217440170428,17.157911748874536,17.157911748874536,75.5905060370945,-0.00034567087530131994,0.0,-0.008641771882532998,0.10456761577630395,0,0,optimal,0.09754329998395406,0.0,10
44,11.0,65.62230716542572,55.08613740184516,35.50581367874595,0.3954836007921457,0.4682432410074785,45.78217440170428,45.73773605045705,43.273100613137615,43.17207731679038,45.78217440170428,10.893986952257272,10.893986952257276,72.81142773294724,-0.00035067889464051645,0.0,-0.008766972366012912,0.0806873248031634,0,0,optimal,0.07336519999080338,2.220446049250313e-16,8
45,11.25,65.62230716542572,55.08613740184516,35.72809461082436,0.3437166320395763,0.38737390129124816,44.521783392083904,44.50685704651176,42.584355532196376,42.76520418048722,44.521783392083904,10.89054612375199,10.890546123751992,70.03322719117376,-0.0003249056433101394,0.0,-0.008122641082753485,0.08047144896010239,0,0,optimal,0.06643690000055358,1.1102230246251565e-16,7
46,11.5,65.62230716542572,55.08613740184516,35.94085939478083,0.30089640785748684,0.3817931341690696,44.29588176707693,44.36834381443473,42.36427034280113,42.30734573011503,44.29588176707693,10.89033273647813,10.890332736478134,67.25508108492934,-0.00032869287366256493,0.0,-0.008217321841564124,0.08032342138282689,0,0,optimal,0.030453499988652766,3.3306690738754696e-16,3
47,11.75,65.62230716542572,55.08613740184516,36.14319693914623,0.2699410557601193,0.30128293400346473,44.29333490695653,44.26655373963956,42.36557452556422,42.33803205201943,44.39338938588947,10.887599630882312,10.887599630882306,64.47763219950018,-0.0003054950148623082,0.0,-0.007637375371557703,0.08022009145387844,0,0,optimal,0.02995510000619106,1.1102230246251565e-16,3
48,12.0,13.389602068096965,104.66230392782208,36.33424080349214,0.25296013183677174,0.24230799512604856,44.39338938588947,44.38145246605521,42.468245543795064,42.49207096310586,44.39338938588947,0.0,0.0,64.47763219950018,-0.9107270185972514,0.0,-22.768175464931286,0.05,0,0,optimal,0.08129959998768754,1.1102230246251565e-16,9
49,12.25,13.389602068096965,104.66230392782208,36.51317290866186,0.25111085799051674,0.4,42.54926770056269,42.548896701566186,41.34775274631078,41.28304250241616,42.54926770056269,0.0,0.0,64.47763219950018,-0.9107270185972514,0.0,-22.768175464931286,0.05,0,0,optimal,0.06242989999009296,1.1102230246251565e-16,7
