interval,hour_utc,load_kW,PV_kW,ambient_C,ripple,ripple_estimate,Tj_start_C,Tj_estimate_C,Ts_start_C,Ts_estimate_C,Tj_peak_C,action_kW,executed_mean_kW,energy_kWh,operating_cost_USD,DR_shortfall_kWh,grid_energy_kWh,loss_energy_kWh,trip,thermal_exceedance_seconds,solver_status,solver_seconds,rainflow_gap_USD,iterations
0,0.0,60.58463510020112,0.0,21.348786143208557,0.48624531308590263,0.4,26.548786143208556,26.548786143208556,25.348786143208557,24.769179099013368,26.548786143208556,0.0,0.0,100.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.011355900001944974,0.0,1
1,0.25,60.58463510020112,0.0,21.169854038038835,0.5440236457899266,0.4,26.548786143208556,26.28293704104462,25.348786143208557,25.23581089433329,26.548786143208556,0.0,0.0,100.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.010404600005131215,0.0,1
2,0.5,60.58463510020112,0.0,21.003799906789805,0.5970981311003349,0.4,26.454818197962197,26.383491675799974,25.254691386726254,24.799072410057743,26.454818197962197,0.0,0.0,100.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.010050200013210997,0.0,1
3,0.75,60.58463510020112,0.0,20.851334818744565,0.6418518305529575,0.4,26.322933571976755,26.105404215179142,25.122755761858482,24.85904654335509,26.322933571976755,0.0,0.0,100.0,1.8235390530060336,0.0,15.196158775050284,0.05,0,0,optimal,0.010241099982522428,0.0,1
4,1.0,35.263704456572206,0.0,20.71311165281699,0.6752348534890832,0.4,26.180216819371694,26.06058038538081,24.980024459607233,24.982234798233485,26.180216819371694,0.0,0.0,100.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.010139599995454773,0.0,1
5,1.25,35.263704456572206,0.0,20.58972230182399,0.6949722020636689,0.4,26.039853043430007,26.033007433222863,24.839663878582105,24.663755035631137,26.039853043430007,0.0,0.0,100.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.010004900017520413,0.0,1
6,1.5,35.263704456572206,0.0,20.481695137909597,0.6997188085888675,0.4,25.908405062300726,25.82491905264371,24.708227925169552,24.616922745553293,25.908405062300726,0.0,0.0,100.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.01020369998877868,0.0,1
7,1.75,35.263704456572206,0.0,20.389492749974323,0.6891511996741245,0.4,25.789262435208762,25.72470336164541,24.589101888197764,24.05294696757567,25.789262435208762,0.0,0.0,100.0,1.0639111336971663,0.0,8.865926114143052,0.05,0,0,optimal,0.010130800015758723,0.0,1
8,2.0,54.0886895424115,0.0,20.31350996279847,0.6639895404031806,0.4,25.684275576630373,25.4383425853912,24.484134110776942,24.406136645941114,25.684275576630373,0.0,0.0,100.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.010321300011128187,0.0,1
9,2.25,54.0886895424115,0.0,20.254072146341823,0.6259485562737424,0.4,25.594529505207934,25.567991714133683,24.394408581417036,24.610085689379797,25.594529505207934,0.0,0.0,100.0,1.628660686272345,0.0,13.57217238560287,0.05,0,0,optimal,0.01912770001217723,0.0,2
